tgDataLogger2 started logging at time 04122024_153544, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(activated_cable).RestLen,26_SCA(activated_cable).CurrLen,26_SCA(activated_cable).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.0101,-0.481446,3.62209,0.967117,-0.137703,0.0546622,0.73141,0.099995,0.420363,5.50822,-1.29058,-0.137703,0.0546622,0.73141,0.099995,-1.46589,5.01521,-0.359076,-0.301156,-0.132867,-0.833454,0.099995,1.40481,4.11509,0.0356129,-0.301156,-0.132867,-0.833454,0.099995,-0.218435,3.45826,-1.16151,-1.84585,0.179413,0.136507,0.099995,0.157352,5.67205,0.838043,-1.84585,0.179413,0.136507,0.099995,2.81295,2.98703,94.0001,2.81295,2.98638,93.6515,2.81295,2.98609,93.4939,2.81295,2.98575,93.3117,2.81295,2.98705,94.0105,2.81295,2.98703,94.0001,2.81295,2.98638,93.6515,2.81295,2.98609,93.4939,2.81295,2.98575,93.3117,2.81295,2.98705,94.0105,2.81295,2.98705,94.0105,2.81295,2.98609,93.4939,2.81295,2.98575,93.3117,2.81295,2.98705,94.0105,2.81295,2.98575,93.3117,2.81295,2.98609,93.4939,2.81295,2.98703,94.0001,2.81295,2.98638,93.6515,2.81295,2.98638,93.6515,2.81295,2.98703,94.0001,2.99814,3.03042,58.109,2.99814,3.03042,58.109,2.99814,3.03042,58.109,2.99814,3.03042,58.109,
0.0202,-0.46173,3.64836,0.917758,-0.138817,0.0556607,0.731728,0.099995,0.400647,5.45202,-1.24122,-0.138817,0.0556607,0.731728,0.099995,-1.39709,4.98048,-0.348114,-0.29785,-0.135842,-0.833897,0.099995,1.33601,4.11991,0.024651,-0.29785,-0.135842,-0.833897,0.099995,-0.205036,3.49936,-1.10932,-1.8455,0.179366,0.136788,0.099995,0.143953,5.60102,0.785853,-1.8455,0.179366,0.136788,0.099995,2.81295,2.97469,87.3393,2.81295,2.97467,87.327,2.81295,2.97398,86.9556,2.81295,2.9736,86.7472,2.81295,2.97472,87.3521,2.81295,2.97469,87.3393,2.81295,2.97467,87.327,2.81295,2.97398,86.9556,2.81295,2.9736,86.7472,2.81295,2.97472,87.3521,2.81295,2.97472,87.3521,2.81295,2.97398,86.9556,2.81295,2.9736,86.7472,2.81295,2.97472,87.3521,2.81295,2.9736,86.7472,2.81295,2.97398,86.9556,2.81295,2.97469,87.3393,2.81295,2.97467,87.327,2.81295,2.97467,87.327,2.81295,2.97469,87.3393,2.99814,3.03077,58.7371,2.99814,3.03077,58.7371,2.99814,3.03077,58.7371,2.99814,3.03077,58.7371,
0.0303,-0.432907,3.68368,0.845599,-0.139836,0.0565746,0.732017,0.099995,0.371824,5.36677,-1.16906,-0.139836,0.0565746,0.732017,0.099995,-1.30127,4.92678,-0.333838,-0.301732,-0.132348,-0.833378,0.099995,1.24019,4.12366,0.0103752,-0.301732,-0.132348,-0.833378,0.099995,-0.189504,3.55241,-1.03793,-1.8447,0.179257,0.137422,0.099995,0.128421,5.49804,0.714471,-1.8447,0.179257,0.137422,0.099995,2.81295,2.96479,81.9908,2.81295,2.96496,82.0828,2.81295,2.96406,81.5989,2.81295,2.96368,81.393,2.81295,2.96488,82.0395,2.81295,2.96479,81.9908,2.81295,2.96496,82.0828,2.81295,2.96406,81.5989,2.81295,2.96368,81.393,2.81295,2.96488,82.0395,2.81295,2.96488,82.0395,2.81295,2.96406,81.5989,2.81295,2.96368,81.393,2.81295,2.96488,82.0395,2.81295,2.96368,81.393,2.81295,2.96406,81.5989,2.81295,2.96479,81.9908,2.81295,2.96496,82.0828,2.81295,2.96496,82.0828,2.81295,2.96479,81.9908,2.99814,3.03103,59.2033,2.99814,3.03103,59.2033,2.99814,3.03103,59.2033,2.99814,3.03103,59.2033,
0.0404,-0.399356,3.71887,0.761604,-0.140243,0.0569401,0.732133,0.099995,0.338273,5.26162,-1.08507,-0.140243,0.0569401,0.732133,0.099995,-1.19455,4.85847,-0.319062,-0.299374,-0.134471,-0.833692,0.099995,1.13347,4.12203,-0.00440124,-0.299374,-0.134471,-0.833692,0.099995,-0.175432,3.60336,-0.960526,-1.84397,0.179157,0.138005,0.099995,0.114349,5.37713,0.637063,-1.84397,0.179157,0.138005,0.099995,2.81295,2.96368,81.3938,2.81295,2.96366,81.3825,2.81295,2.96275,80.8868,2.81295,2.96253,80.7697,2.81295,2.96366,81.3812,2.81295,2.96368,81.3938,2.81295,2.96366,81.3825,2.81295,2.96275,80.8868,2.81295,2.96253,80.7697,2.81295,2.96366,81.3812,2.81295,2.96366,81.3812,2.81295,2.96275,80.8868,2.81295,2.96253,80.7697,2.81295,2.96366,81.3812,2.81295,2.96253,80.7697,2.81295,2.96275,80.8868,2.81295,2.96368,81.3938,2.81295,2.96366,81.3825,2.81295,2.96366,81.3825,2.81295,2.96368,81.3938,2.99814,3.03196,60.8793,2.99814,3.03196,60.8793,2.99814,3.03196,60.8793,2.99814,3.03196,60.8793,
0.0505,-0.368162,3.73913,0.683509,-0.140026,0.056745,0.732071,0.099995,0.307079,5.1514,-1.00697,-0.140026,0.056745,0.732071,0.099995,-1.09886,4.78253,-0.3067,-0.299673,-0.134202,-0.833651,0.099995,1.03778,4.108,-0.0167628,-0.299673,-0.134202,-0.833651,0.099995,-0.165411,3.6336,-0.893687,-1.84355,0.1791,0.138337,0.099995,0.104329,5.25693,0.570224,-1.84355,0.1791,0.138337,0.099995,2.81295,2.97197,85.8705,2.81295,2.97095,85.3168,2.81295,2.97023,84.931,2.81295,2.96988,84.7373,2.81295,2.9716,85.6681,2.81295,2.97197,85.8705,2.81295,2.97095,85.3168,2.81295,2.97023,84.931,2.81295,2.96988,84.7373,2.81295,2.9716,85.6681,2.81295,2.9716,85.6681,2.81295,2.97023,84.931,2.81295,2.96988,84.7373,2.81295,2.9716,85.6681,2.81295,2.96988,84.7373,2.81295,2.97023,84.931,2.81295,2.97197,85.8705,2.81295,2.97095,85.3168,2.81295,2.97095,85.3168,2.81295,2.97197,85.8705,2.99814,3.03368,63.9782,2.99814,3.03368,63.9782,2.99814,3.03368,63.9782,2.99814,3.03368,63.9782,
0.0606,-0.348835,3.72457,0.635123,-0.139736,0.0564848,0.731989,0.099995,0.287752,5.05598,-0.958586,-0.139736,0.0564848,0.731989,0.099995,-1.04092,4.70833,-0.299605,-0.302257,-0.131876,-0.833309,0.099995,0.979836,4.07222,-0.0238585,-0.302257,-0.131876,-0.833309,0.099995,-0.16042,3.62285,-0.854735,-1.84337,0.179076,0.138478,0.099995,0.0993375,5.1577,0.531272,-1.84337,0.179076,0.138478,0.099995,2.81295,2.98144,90.9811,2.81295,2.9791,89.7206,2.81295,2.97852,89.4068,2.81295,2.97747,88.837,2.81295,2.9806,90.5303,2.81295,2.98144,90.9811,2.81295,2.9791,89.7206,2.81295,2.97852,89.4068,2.81295,2.97747,88.837,2.81295,2.9806,90.5303,2.81295,2.9806,90.5303,2.81295,2.97852,89.4068,2.81295,2.97747,88.837,2.81295,2.9806,90.5303,2.81295,2.97747,88.837,2.81295,2.97852,89.4068,2.81295,2.98144,90.9811,2.81295,2.9791,89.7206,2.81295,2.9791,89.7206,2.81295,2.98144,90.9811,2.99814,3.03545,67.1614,2.99814,3.03545,67.1614,2.99814,3.03545,67.1614,2.99814,3.03545,67.1614,
0.0707,-0.346643,3.66415,0.629636,-0.139918,0.0566484,0.732041,0.099995,0.28556,4.9864,-0.953099,-0.139918,0.0566484,0.732041,0.099995,-1.03463,4.6411,-0.29896,-0.30051,-0.133448,-0.83354,0.099995,0.97355,4.00946,-0.0245033,-0.30051,-0.133448,-0.83354,0.099995,-0.160039,3.56263,-0.850587,-1.84312,0.179042,0.138677,0.099995,0.0989565,5.08792,0.527123,-1.84312,0.179042,0.138677,0.099995,2.81295,2.98307,91.86,2.81295,2.97981,90.1023,2.81295,2.97926,89.8032,2.81295,2.97742,88.8112,2.81295,2.98196,91.2608,2.81295,2.98307,91.86,2.81295,2.97981,90.1023,2.81295,2.97926,89.8032,2.81295,2.97742,88.8112,2.81295,2.98196,91.2608,2.81295,2.98196,91.2608,2.81295,2.97926,89.8032,2.81295,2.97742,88.8112,2.81295,2.98196,91.2608,2.81295,2.97742,88.8112,2.81295,2.97926,89.8032,2.81295,2.98307,91.86,2.81295,2.97981,90.1023,2.81295,2.97981,90.1023,2.81295,2.98307,91.86,2.99814,3.03643,68.9297,2.99814,3.03643,68.9297,2.99814,3.03643,68.9297,2.99814,3.03643,68.9297,
0.0808,-0.359624,3.562,0.662134,-0.140491,0.0571625,0.732203,0.099995,0.298541,4.93855,-0.985597,-0.140491,0.0571625,0.732203,0.099995,-1.07374,4.57898,-0.303817,-0.300881,-0.133114,-0.83349,0.099995,1.01266,3.92157,-0.0196466,-0.300881,-0.133114,-0.83349,0.099995,-0.163497,3.45841,-0.876376,-1.84276,0.178992,0.138964,0.099995,0.102414,5.04214,0.552912,-1.84276,0.178992,0.138964,0.099995,2.81295,2.97677,88.4596,2.81295,2.97307,86.4596,2.81295,2.9726,86.2075,2.81295,2.97047,85.0562,2.81295,2.97557,87.814,2.81295,2.97677,88.4596,2.81295,2.97307,86.4596,2.81295,2.9726,86.2075,2.81295,2.97047,85.0562,2.81295,2.97557,87.814,2.81295,2.97557,87.814,2.81295,2.9726,86.2075,2.81295,2.97047,85.0562,2.81295,2.97557,87.814,2.81295,2.97047,85.0562,2.81295,2.9726,86.2075,2.81295,2.97677,88.4596,2.81295,2.97307,86.4596,2.81295,2.97307,86.4596,2.81295,2.97677,88.4596,2.99814,3.03659,69.2154,2.99814,3.03659,69.2154,2.99814,3.03659,69.2154,2.99814,3.03659,69.2154,
0.0909,-0.382771,3.42858,0.720083,-0.141032,0.0576483,0.732357,0.099995,0.321688,4.90195,-1.04355,-0.141032,0.0576483,0.732357,0.099995,-1.14391,4.5169,-0.312689,-0.301229,-0.132801,-0.833444,0.099995,1.08283,3.81363,-0.0107742,-0.301229,-0.132801,-0.833444,0.099995,-0.170158,3.31975,-0.923856,-1.84268,0.178981,0.139029,0.099995,0.109075,5.01077,0.600393,-1.84268,0.178981,0.139029,0.099995,2.81295,2.96854,84.0177,2.81295,2.96472,81.9517,2.81295,2.96434,81.7468,2.81295,2.96244,80.7209,2.81295,2.96728,83.3365,2.81295,2.96854,84.0177,2.81295,2.96472,81.9517,2.81295,2.96434,81.7468,2.81295,2.96244,80.7209,2.81295,2.96728,83.3365,2.81295,2.96728,83.3365,2.81295,2.96434,81.7468,2.81295,2.96244,80.7209,2.81295,2.96728,83.3365,2.81295,2.96244,80.7209,2.81295,2.96434,81.7468,2.81295,2.96854,84.0177,2.81295,2.96472,81.9517,2.81295,2.96472,81.9517,2.81295,2.96854,84.0177,2.99814,3.03645,68.96,2.99814,3.03645,68.96,2.99814,3.03645,68.96,2.99814,3.03645,68.96,
0.101,-0.407795,3.32537,0.789053,-0.0692382,0.133613,0.763801,0.099995,0.352369,4.86795,-1.11348,-0.136395,0.0640976,0.732736,0.099995,-1.22801,4.45451,-0.320416,-0.281126,-0.147813,-0.837427,0.099995,1.16659,3.69576,-0.00394738,-0.319138,-0.122812,-0.829997,0.099995,-0.177148,3.16521,-0.981488,-1.85305,0.107011,0.136473,0.099995,0.120095,4.98749,0.672052,-1.85354,0.11663,0.135782,0.099995,2.81295,2.97362,86.7567,2.81295,2.96441,81.7832,2.81295,2.96055,79.6989,2.81295,2.88756,40.2861,2.81295,2.96732,83.3571,2.81295,2.96934,84.4489,2.81295,2.95598,77.233,2.81295,2.96293,80.9868,2.81295,2.96134,80.1268,2.81295,2.95793,78.2855,2.81295,2.96438,81.7704,2.81295,2.97282,86.3255,2.81295,2.97965,90.0164,2.81295,2.97097,85.3299,2.81295,2.95998,79.3926,2.81295,2.96211,80.5413,2.81295,2.96611,82.7055,2.81295,2.96922,84.3828,2.81295,2.95899,78.857,2.81295,2.97362,86.7565,2.99814,3.01589,31.9414,2.99814,3.03687,69.7189,2.99814,3.05403,100.602,2.99814,3.03648,69.0145,
