tgDataLogger2 started logging at time 04122024_154118, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(activated_cable).RestLen,9_SCA(activated_cable).CurrLen,9_SCA(activated_cable).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,
0.0101,-0.481505,3.62197,0.967264,-0.137546,0.0545219,0.731365,0.099995,0.420422,5.50834,-1.29073,-0.137546,0.0545219,0.731365,0.099995,-1.46622,5.01528,-0.359148,-0.301097,-0.132921,-0.833462,0.099995,1.40514,4.11502,0.0356851,-0.301097,-0.132921,-0.833462,0.099995,-0.218636,3.45799,-1.16181,-1.84596,0.179428,0.136417,0.099995,0.157553,5.67231,0.838344,-1.84596,0.179428,0.136417,0.099995,2.99814,3.02971,56.8172,2.99814,3.02971,56.8172,2.99814,3.02971,56.8172,2.99814,3.02971,56.8172,2.88703,2.9869,89.8811,2.88703,2.9866,89.617,2.88703,2.98643,89.4587,2.88703,2.9864,89.4297,2.88703,2.98702,89.9886,2.88703,2.9869,89.8811,2.88703,2.9866,89.617,2.88703,2.98643,89.4587,2.88703,2.9864,89.4297,2.88703,2.98702,89.9886,2.88703,2.98702,89.9886,2.88703,2.98643,89.4587,2.88703,2.9864,89.4297,2.88703,2.98702,89.9886,2.88703,2.9864,89.4297,2.88703,2.98643,89.4587,2.88703,2.9869,89.8811,2.88703,2.9866,89.617,2.88703,2.9866,89.617,2.88703,2.9869,89.8811,
0.0202,-0.462416,3.64693,0.919474,-0.138613,0.055478,0.731669,0.099995,0.401333,5.45345,-1.24294,-0.138613,0.055478,0.731669,0.099995,-1.39971,4.98121,-0.348548,-0.297902,-0.135795,-0.83389,0.099995,1.33862,4.11918,0.0250853,-0.297902,-0.135795,-0.83389,0.099995,-0.205682,3.49721,-1.11137,-1.84563,0.179383,0.136682,0.099995,0.144599,5.60317,0.787907,-1.84563,0.179383,0.136682,0.099995,2.99814,3.02987,57.1151,2.99814,3.02987,57.1151,2.99814,3.02987,57.1151,2.99814,3.02987,57.1151,2.88703,2.97494,79.1202,2.88703,2.97521,79.3584,2.88703,2.9747,78.9028,2.88703,2.97456,78.7788,2.88703,2.97504,79.2077,2.88703,2.97494,79.1202,2.88703,2.97521,79.3584,2.88703,2.9747,78.9028,2.88703,2.97456,78.7788,2.88703,2.97504,79.2077,2.88703,2.97504,79.2077,2.88703,2.9747,78.9028,2.88703,2.97456,78.7788,2.88703,2.97504,79.2077,2.88703,2.97456,78.7788,2.88703,2.9747,78.9028,2.88703,2.97494,79.1202,2.88703,2.97521,79.3584,2.88703,2.97521,79.3584,2.88703,2.97494,79.1202,
0.0303,-0.435045,3.67921,0.85095,-0.139572,0.0563381,0.731942,0.099995,0.373962,5.37124,-1.17441,-0.139572,0.0563381,0.731942,0.099995,-1.30872,4.92898,-0.334975,-0.30182,-0.132269,-0.833366,0.099995,1.24764,4.12146,0.0115118,-0.30182,-0.132269,-0.833366,0.099995,-0.190901,3.54633,-1.04357,-1.84488,0.179282,0.137279,0.099995,0.129818,5.50412,0.720111,-1.84488,0.179282,0.137279,0.099995,2.99814,3.02975,56.9038,2.99814,3.02975,56.9038,2.99814,3.02975,56.9038,2.99814,3.02975,56.9038,2.88703,2.96521,70.363,2.88703,2.96558,70.695,2.88703,2.96496,70.1401,2.88703,2.96483,70.0177,2.88703,2.96535,70.4865,2.88703,2.96521,70.363,2.88703,2.96558,70.695,2.88703,2.96496,70.1401,2.88703,2.96483,70.0177,2.88703,2.96535,70.4865,2.88703,2.96535,70.4865,2.88703,2.96496,70.1401,2.88703,2.96483,70.0177,2.88703,2.96535,70.4865,2.88703,2.96483,70.0177,2.88703,2.96496,70.1401,2.88703,2.96521,70.363,2.88703,2.96558,70.695,2.88703,2.96558,70.695,2.88703,2.96521,70.363,
0.0404,-0.403254,3.71072,0.771361,-0.139975,0.0566994,0.732057,0.099995,0.342171,5.26977,-1.09482,-0.139975,0.0566994,0.732057,0.099995,-1.20741,4.86244,-0.320878,-0.298336,-0.135405,-0.833831,0.099995,1.14633,4.11805,-0.00258505,-0.298336,-0.135405,-0.833831,0.099995,-0.177362,3.59297,-0.969982,-1.84419,0.179188,0.137829,0.099995,0.116279,5.38753,0.646519,-1.84419,0.179188,0.137829,0.099995,2.99814,3.03014,57.6006,2.99814,3.03014,57.6006,2.99814,3.03014,57.6006,2.99814,3.03014,57.6006,2.88703,2.96328,68.63,2.88703,2.96347,68.7927,2.88703,2.96291,68.2908,2.88703,2.96292,68.2975,2.88703,2.96333,68.673,2.88703,2.96328,68.63,2.88703,2.96347,68.7927,2.88703,2.96291,68.2908,2.88703,2.96292,68.2975,2.88703,2.96333,68.673,2.88703,2.96333,68.673,2.88703,2.96291,68.2908,2.88703,2.96292,68.2975,2.88703,2.96333,68.673,2.88703,2.96292,68.2975,2.88703,2.96291,68.2908,2.88703,2.96328,68.63,2.88703,2.96347,68.7927,2.88703,2.96347,68.7927,2.88703,2.96328,68.63,
0.0505,-0.372558,3.72994,0.694513,-0.139774,0.0565197,0.732,0.099995,0.311475,5.16059,-1.01798,-0.139774,0.0565197,0.732,0.099995,-1.11293,4.78706,-0.308538,-0.301261,-0.132773,-0.83344,0.099995,1.05185,4.10347,-0.014925,-0.301261,-0.132773,-0.83344,0.099995,-0.167184,3.62238,-0.903769,-1.84377,0.17913,0.138162,0.099995,0.106101,5.26815,0.580306,-1.84377,0.17913,0.138162,0.099995,2.99814,3.03136,59.7941,2.99814,3.03136,59.7941,2.99814,3.03136,59.7941,2.99814,3.03136,59.7941,2.88703,2.97026,74.9055,2.88703,2.96966,74.3669,2.88703,2.96929,74.0341,2.88703,2.96921,73.9588,2.88703,2.97002,74.6935,2.88703,2.97026,74.9055,2.88703,2.96966,74.3669,2.88703,2.96929,74.0341,2.88703,2.96921,73.9588,2.88703,2.97002,74.6935,2.88703,2.97002,74.6935,2.88703,2.96929,74.0341,2.88703,2.96921,73.9588,2.88703,2.97002,74.6935,2.88703,2.96921,73.9588,2.88703,2.96929,74.0341,2.88703,2.97026,74.9055,2.88703,2.96966,74.3669,2.88703,2.96966,74.3669,2.88703,2.97026,74.9055,
0.0606,-0.351255,3.71951,0.641182,-0.13941,0.0561926,0.731896,0.099995,0.290172,5.06105,-0.964645,-0.13941,0.0561926,0.731896,0.099995,-1.04877,4.71091,-0.300581,-0.301601,-0.132467,-0.833395,0.099995,0.987682,4.06964,-0.022882,-0.301601,-0.132467,-0.833395,0.099995,-0.161369,3.61645,-0.860459,-1.84367,0.179117,0.13824,0.099995,0.100286,5.1641,0.536996,-1.84367,0.179117,0.13824,0.099995,2.99814,3.03295,62.6642,2.99814,3.03295,62.6642,2.99814,3.03295,62.6642,2.99814,3.03295,62.6642,2.88703,2.97988,83.57,2.88703,2.97825,82.0998,2.88703,2.97799,81.8635,2.88703,2.97736,81.299,2.88703,2.97927,83.0198,2.88703,2.97988,83.57,2.88703,2.97825,82.0998,2.88703,2.97799,81.8635,2.88703,2.97736,81.299,2.88703,2.97927,83.0198,2.88703,2.97927,83.0198,2.88703,2.97799,81.8635,2.88703,2.97736,81.299,2.88703,2.97927,83.0198,2.88703,2.97736,81.299,2.88703,2.97799,81.8635,2.88703,2.97988,83.57,2.88703,2.97825,82.0998,2.88703,2.97825,82.0998,2.88703,2.97988,83.57,
0.0707,-0.345511,3.66652,0.6268,-0.13942,0.056202,0.731899,0.099995,0.284428,4.98403,-0.950263,-0.13942,0.056202,0.731899,0.099995,-1.03166,4.64019,-0.298534,-0.299605,-0.134263,-0.833661,0.099995,0.970577,4.01037,-0.0249294,-0.299605,-0.134263,-0.833661,0.099995,-0.159944,3.5643,-0.849156,-1.84354,0.179099,0.138347,0.099995,0.0988615,5.08626,0.525693,-1.84354,0.179099,0.138347,0.099995,2.99814,3.03405,64.6308,2.99814,3.03405,64.6308,2.99814,3.03405,64.6308,2.99814,3.03405,64.6308,2.88703,2.98323,86.5789,2.88703,2.98091,84.4904,2.88703,2.98069,84.2921,2.88703,2.97938,83.1146,2.88703,2.98246,85.8864,2.88703,2.98323,86.5789,2.88703,2.98091,84.4904,2.88703,2.98069,84.2921,2.88703,2.97938,83.1146,2.88703,2.98246,85.8864,2.88703,2.98246,85.8864,2.88703,2.98069,84.2921,2.88703,2.97938,83.1146,2.88703,2.98246,85.8864,2.88703,2.97938,83.1146,2.88703,2.98069,84.2921,2.88703,2.98323,86.5789,2.88703,2.98091,84.4904,2.88703,2.98091,84.4904,2.88703,2.98323,86.5789,
0.0808,-0.354794,3.5721,0.650042,-0.13985,0.0565876,0.732021,0.099995,0.293711,4.92845,-0.973505,-0.13985,0.0565876,0.732021,0.099995,-1.0595,4.57442,-0.301934,-0.302062,-0.132052,-0.833334,0.099995,0.998414,3.92612,-0.0215289,-0.302062,-0.132052,-0.833334,0.099995,-0.16229,3.4686,-0.867385,-1.84326,0.17906,0.13857,0.099995,0.101207,5.03195,0.543922,-1.84326,0.17906,0.13857,0.099995,2.99814,3.03429,65.069,2.99814,3.03429,65.069,2.99814,3.03429,65.069,2.99814,3.03429,65.069,2.88703,2.97841,82.2457,2.88703,2.97592,80.0034,2.88703,2.97571,79.8112,2.88703,2.97418,78.4326,2.88703,2.97761,81.5194,2.88703,2.97841,82.2457,2.88703,2.97592,80.0034,2.88703,2.97571,79.8112,2.88703,2.97418,78.4326,2.88703,2.97761,81.5194,2.88703,2.97761,81.5194,2.88703,2.97571,79.8112,2.88703,2.97418,78.4326,2.88703,2.97761,81.5194,2.88703,2.97418,78.4326,2.88703,2.97571,79.8112,2.88703,2.97841,82.2457,2.88703,2.97592,80.0034,2.88703,2.97592,80.0034,2.88703,2.97841,82.2457,
0.0909,-0.374544,3.44578,0.699486,-0.140367,0.0570511,0.732168,0.099995,0.313461,4.88474,-1.02295,-0.140367,0.0570511,0.732168,0.099995,-1.11911,4.50897,-0.309409,-0.299644,-0.134228,-0.833655,0.099995,1.05803,3.82156,-0.0140537,-0.299644,-0.134228,-0.833655,0.099995,-0.167723,3.33836,-0.907335,-1.84316,0.179047,0.138647,0.099995,0.10664,4.99216,0.583871,-1.84316,0.179047,0.138647,0.099995,2.99814,3.03399,64.5352,2.99814,3.03399,64.5352,2.99814,3.03399,64.5352,2.99814,3.03399,64.5352,2.88703,2.97025,74.901,2.88703,2.96785,72.7345,2.88703,2.96771,72.6156,2.88703,2.96644,71.4713,2.88703,2.96947,74.1984,2.88703,2.97025,74.901,2.88703,2.96785,72.7345,2.88703,2.96771,72.6156,2.88703,2.96644,71.4713,2.88703,2.96947,74.1984,2.88703,2.96947,74.1984,2.88703,2.96771,72.6156,2.88703,2.96644,71.4713,2.88703,2.96947,74.1984,2.88703,2.96644,71.4713,2.88703,2.96771,72.6156,2.88703,2.97025,74.901,2.88703,2.96785,72.7345,2.88703,2.96785,72.7345,2.88703,2.97025,74.901,
0.101,-0.398719,3.33432,0.7626,-0.0934119,0.108548,0.755583,0.099995,0.340449,4.84405,-1.08655,-0.136683,0.0622948,0.732575,0.099995,-1.19558,4.44182,-0.31734,-0.287624,-0.142954,-0.83614,0.099995,1.13404,3.7036,-0.00760608,-0.311081,-0.128065,-0.830981,0.099995,-0.174421,3.18704,-0.959786,-1.85,0.131181,0.136835,0.099995,0.115742,4.95974,0.645024,-1.85309,0.11835,0.136028,0.099995,2.99814,3.01929,38.0768,2.99814,3.03385,64.2757,2.99814,3.04949,92.4339,2.99814,3.03356,63.7551,2.88703,2.97287,77.2543,2.88703,2.96438,69.6171,2.88703,2.96235,67.7902,2.88703,2.90461,15.8244,2.88703,2.96643,71.457,2.88703,2.96793,72.8123,2.88703,2.9595,65.2237,2.88703,2.9636,68.9108,2.88703,2.96267,68.0757,2.88703,2.9607,66.3055,2.88703,2.96505,70.218,2.88703,2.97154,76.0563,2.88703,2.97731,81.2493,2.88703,2.96882,73.613,2.88703,2.96233,67.7717,2.88703,2.96328,68.6216,2.88703,2.96581,70.9022,2.88703,2.96813,72.9879,2.88703,2.96084,66.4273,2.88703,2.97115,75.7111,
