tgDataLogger2 started logging at time 04122024_161054, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(activated_cable).RestLen,26_SCA(activated_cable).CurrLen,26_SCA(activated_cable).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.0101,4.79496e-18,4.49505,1.53828,-0.00550822,-6.65184e-17,-3.13501e-15,0.099995,-2.64148e-16,4.49505,-1.53828,-0.00550822,1.02057e-16,-2.2353e-15,0.099995,-1.51679,4.50246,-1.99198e-16,-0.00135193,7.36173e-17,-1.5708,0.099995,1.51679,4.48763,1.30932e-16,-0.00135193,-1.06252e-17,-1.5708,0.099995,0.013388,2.99216,4.0265e-15,-1.56978,-4.50594e-15,2.66284e-17,0.099995,-0.013388,5.99793,-3.89922e-15,-1.56978,-3.99591e-15,-3.21664e-17,0.099995,2.44258,2.9872,98.0316,2.44258,2.98616,97.8432,2.44258,2.98572,97.7652,2.44258,2.98503,97.641,2.44258,2.9871,98.0126,2.44258,2.9872,98.0316,2.44258,2.98616,97.8432,2.44258,2.98572,97.7652,2.44258,2.98503,97.641,2.44258,2.9871,98.0126,2.44258,2.9871,98.0126,2.44258,2.98572,97.7652,2.44258,2.98503,97.641,2.44258,2.9871,98.0126,2.44258,2.98503,97.641,2.44258,2.98572,97.7652,2.44258,2.9872,98.0316,2.44258,2.98616,97.8432,2.44258,2.98616,97.8432,2.44258,2.9872,98.0316,2.99814,3.03119,59.4895,2.99814,3.03119,59.4895,2.99814,3.03119,59.4895,2.99814,3.03119,59.4895,
0.0202,-6.37927e-16,4.48008,1.46871,-0.00715313,-6.77125e-16,-5.10648e-15,0.099995,-5.39089e-16,4.48008,-1.46871,-0.00715313,6.38951e-16,-4.65143e-15,0.099995,-1.44191,4.48949,8.73347e-17,0.00312837,1.18178e-16,-1.5708,0.099995,1.44191,4.47068,2.27006e-16,0.00312837,-3.42608e-17,-1.5708,0.099995,0.0166557,3.0575,6.85853e-15,-1.56931,-2.26947e-15,4.00794e-17,0.099995,-0.0166557,5.90267,-6.49299e-15,-1.56931,-2.79721e-15,-5.5791e-17,0.099995,2.44258,2.9746,95.762,2.44258,2.97412,95.6771,2.44258,2.97319,95.5082,2.44258,2.97241,95.3686,2.44258,2.97449,95.7425,2.44258,2.9746,95.762,2.44258,2.97412,95.6771,2.44258,2.97319,95.5082,2.44258,2.97241,95.3686,2.44258,2.97449,95.7425,2.44258,2.97449,95.7425,2.44258,2.97319,95.5082,2.44258,2.97241,95.3686,2.44258,2.97449,95.7425,2.44258,2.97241,95.3686,2.44258,2.97319,95.5082,2.44258,2.9746,95.762,2.44258,2.97412,95.6771,2.44258,2.97412,95.6771,2.44258,2.9746,95.762,2.99814,3.03173,60.4622,2.99814,3.03173,60.4622,2.99814,3.03173,60.4622,2.99814,3.03173,60.4622,
0.0303,-3.53325e-16,4.45512,1.36524,-0.00868052,2.82645e-15,-7.7196e-15,0.099995,-6.2707e-16,4.45512,-1.36524,-0.00868052,-2.72876e-15,-6.91092e-15,0.099995,-1.33567,4.4657,3.8744e-17,-0.00149986,6.31006e-17,-1.5708,0.099995,1.33567,4.44454,2.5827e-16,-0.00149986,-4.47775e-17,-1.5708,0.099995,0.0179797,3.14478,1.00464e-14,-1.56829,-1.00309e-14,-7.87831e-17,0.099995,-0.0179797,5.76545,-9.5014e-15,-1.56829,-1.18504e-14,1.28121e-16,0.099995,2.44258,2.96466,93.973,2.44258,2.96438,93.9231,2.44258,2.96307,93.6867,2.44258,2.96223,93.5353,2.44258,2.96462,93.9656,2.44258,2.96466,93.973,2.44258,2.96438,93.9231,2.44258,2.96307,93.6867,2.44258,2.96223,93.5353,2.44258,2.96462,93.9656,2.44258,2.96462,93.9656,2.44258,2.96307,93.6867,2.44258,2.96223,93.5353,2.44258,2.96462,93.9656,2.44258,2.96223,93.5353,2.44258,2.96307,93.6867,2.44258,2.96466,93.973,2.44258,2.96438,93.9231,2.44258,2.96438,93.9231,2.44258,2.96466,93.973,2.99814,3.03239,61.6469,2.99814,3.03239,61.6469,2.99814,3.03239,61.6469,2.99814,3.03239,61.6469,
0.0404,-6.30298e-16,4.42014,1.24503,-0.00927566,-1.0988e-15,-1.04992e-14,0.099995,-6.52634e-16,4.42014,-1.24503,-0.00927566,6.47203e-16,-1.02759e-14,0.099995,-1.21748,4.43013,9.9324e-17,-0.000856011,4.23923e-17,-1.5708,0.099995,1.21748,4.41015,2.11868e-16,-0.000856011,-7.26958e-17,-1.5708,0.099995,0.0161068,3.23158,1.25186e-14,-1.56735,-1.39477e-14,-2.77772e-17,0.099995,-0.0161068,5.6087,-1.22447e-14,-1.56735,-1.30454e-14,-5.86179e-17,0.099995,2.44258,2.96457,93.9568,2.44258,2.96401,93.8573,2.44258,2.96251,93.5871,2.44258,2.96179,93.4574,2.44258,2.96436,93.9203,2.44258,2.96457,93.9568,2.44258,2.96401,93.8573,2.44258,2.96251,93.5871,2.44258,2.96179,93.4574,2.44258,2.96436,93.9203,2.44258,2.96436,93.9203,2.44258,2.96251,93.5871,2.44258,2.96179,93.4574,2.44258,2.96436,93.9203,2.44258,2.96179,93.4574,2.44258,2.96251,93.5871,2.44258,2.96457,93.9568,2.44258,2.96401,93.8573,2.44258,2.96401,93.8573,2.44258,2.96457,93.9568,2.99814,3.03388,64.3316,2.99814,3.03388,64.3316,2.99814,3.03388,64.3316,2.99814,3.03388,64.3316,
0.0505,-2.21156e-16,4.37516,1.13815,-0.00899936,4.83635e-15,-1.45345e-14,0.099995,-3.62263e-16,4.37516,-1.13815,-0.00899936,-4.59802e-15,-1.37726e-14,0.099995,-1.11604,4.38313,-2.31012e-16,0.00115799,1.98192e-16,-1.5708,0.099995,1.11604,4.36719,1.99568e-16,0.00115799,-3.46945e-17,-1.5708,0.099995,0.0121317,3.28731,1.58e-14,-1.56684,-1.38119e-14,-1.28478e-16,0.099995,-0.0121317,5.46301,-1.54774e-14,-1.56684,-1.53407e-14,3.2625e-17,0.099995,2.44258,2.97415,95.682,2.44258,2.97228,95.3454,2.44258,2.97088,95.093,2.44258,2.96991,94.9183,2.44258,2.97348,95.5604,2.44258,2.97415,95.682,2.44258,2.97228,95.3454,2.44258,2.97088,95.093,2.44258,2.96991,94.9183,2.44258,2.97348,95.5604,2.44258,2.97348,95.5604,2.44258,2.97088,95.093,2.44258,2.96991,94.9183,2.44258,2.97348,95.5604,2.44258,2.96991,94.9183,2.44258,2.97088,95.093,2.44258,2.97415,95.682,2.44258,2.97228,95.3454,2.44258,2.97228,95.3454,2.44258,2.97415,95.682,2.99814,3.03606,68.251,2.99814,3.03606,68.251,2.99814,3.03606,68.251,2.99814,3.03606,68.251,
0.0606,-8.86675e-16,4.32017,1.08012,-0.00878461,1.84031e-16,-1.87551e-14,0.099995,-6.07168e-16,4.32017,-1.08012,-0.00878461,-3.68285e-15,-1.82378e-14,0.099995,-1.06226,4.32643,-1.19689e-16,-0.00134882,1.57209e-17,-1.5708,0.099995,1.06226,4.3139,-1.10769e-16,-0.00134882,2.38524e-18,-1.5708,0.099995,0.00913653,3.28374,1.88889e-14,-1.5665,-1.63401e-14,-1.5222e-16,0.099995,-0.00913653,5.35659,-1.88034e-14,-1.5665,-2.13222e-14,-1.9901e-16,0.099995,2.44258,2.98322,97.315,2.44258,2.97962,96.6661,2.44258,2.9783,96.4295,2.44258,2.97642,96.0904,2.44258,2.98198,97.0903,2.44258,2.98322,97.315,2.44258,2.97962,96.6661,2.44258,2.9783,96.4295,2.44258,2.97642,96.0904,2.44258,2.98198,97.0903,2.44258,2.98198,97.0903,2.44258,2.9783,96.4295,2.44258,2.97642,96.0904,2.44258,2.98198,97.0903,2.44258,2.97642,96.0904,2.44258,2.9783,96.4295,2.44258,2.98322,97.315,2.44258,2.97962,96.6661,2.44258,2.97962,96.6661,2.44258,2.98322,97.315,2.99814,3.03792,71.6071,2.99814,3.03792,71.6071,2.99814,3.03792,71.6071,2.99814,3.03792,71.6071,
0.0707,-1.71456e-15,4.25517,1.08478,-0.00933302,-9.67199e-15,-2.12395e-14,0.099995,-1.58886e-15,4.25517,-1.08478,-0.00933302,1.27545e-14,-2.17285e-14,0.099995,-1.06711,4.26119,2.2868e-16,-0.00261113,-5.35596e-17,-1.5708,0.099995,1.06711,4.24915,1.99502e-16,-0.00261113,-2.97071e-17,-1.5708,0.099995,0.00894126,3.21405,2.29541e-14,-1.56598,-3.99145e-14,-2.20857e-16,0.099995,-0.00894126,5.29629,-2.26485e-14,-1.56598,-3.19828e-14,-1.15461e-16,0.099995,2.44258,2.98327,97.3242,2.44258,2.97829,96.4265,2.44258,2.97692,96.181,2.44258,2.97406,95.6664,2.44258,2.98157,97.0175,2.44258,2.98327,97.3242,2.44258,2.97829,96.4265,2.44258,2.97692,96.181,2.44258,2.97406,95.6664,2.44258,2.98157,97.0175,2.44258,2.98157,97.0175,2.44258,2.97692,96.181,2.44258,2.97406,95.6664,2.44258,2.98157,97.0175,2.44258,2.97406,95.6664,2.44258,2.97692,96.181,2.44258,2.98327,97.3242,2.44258,2.97829,96.4265,2.44258,2.97829,96.4265,2.44258,2.98327,97.3242,2.99814,3.0388,73.1824,2.99814,3.0388,73.1824,2.99814,3.0388,73.1824,2.99814,3.0388,73.1824,
0.0808,-1.56527e-15,4.18017,1.14139,-0.0103792,7.82128e-15,-2.57833e-14,0.099995,-1.66261e-15,4.18017,-1.14139,-0.0103792,-6.99827e-15,-2.52487e-14,0.099995,-1.1204,4.18724,2.22155e-16,0.000174598,2.38524e-18,-1.5708,0.099995,1.1204,4.1731,2.95347e-16,0.000174598,-3.62937e-17,-1.5708,0.099995,0.011093,3.08837,2.78956e-14,-1.56541,-8.16126e-15,-1.89502e-16,0.099995,-0.011093,5.27197,-2.73426e-14,-1.56541,-1.68005e-14,-1.56898e-16,0.099995,2.44258,2.97605,96.0244,2.44258,2.97003,94.9401,2.44258,2.96872,94.7049,2.44258,2.96539,94.1047,2.44258,2.97407,95.6669,2.44258,2.97605,96.0244,2.44258,2.97003,94.9401,2.44258,2.96872,94.7049,2.44258,2.96539,94.1047,2.44258,2.97407,95.6669,2.44258,2.97407,95.6669,2.44258,2.96872,94.7049,2.44258,2.96539,94.1047,2.44258,2.97407,95.6669,2.44258,2.96539,94.1047,2.44258,2.96872,94.7049,2.44258,2.97605,96.0244,2.44258,2.97003,94.9401,2.44258,2.97003,94.9401,2.44258,2.97605,96.0244,2.99814,3.03897,73.4891,2.99814,3.03897,73.4891,2.99814,3.03897,73.4891,2.99814,3.03897,73.4891,
0.0909,-1.11213e-15,4.09516,1.23164,-0.0112079,-3.39246e-15,-2.85028e-14,0.099995,-1.06579e-15,4.09516,-1.23164,-0.0112079,-2.64806e-17,-2.72323e-14,0.099995,-1.20594,4.10375,1.8605e-16,-0.002092,-2.36356e-17,-1.5708,0.099995,1.20594,4.08656,5.27296e-16,-0.002092,-1.27936e-16,-1.5708,0.099995,0.0142481,2.91976,3.31523e-14,-1.56526,-2.74259e-14,-1.8337e-16,0.099995,-0.0142481,5.27055,-3.23634e-14,-1.56526,-2.14705e-14,-1.78318e-16,0.099995,2.44258,2.96859,94.6816,2.44258,2.96183,93.4645,2.44258,2.96059,93.2411,2.44258,2.95732,92.6518,2.44258,2.96636,94.2793,2.44258,2.96859,94.6816,2.44258,2.96183,93.4645,2.44258,2.96059,93.2411,2.44258,2.95732,92.6518,2.44258,2.96636,94.2793,2.44258,2.96636,94.2793,2.44258,2.96059,93.2411,2.44258,2.95732,92.6518,2.44258,2.96636,94.2793,2.44258,2.95732,92.6518,2.44258,2.96059,93.2411,2.44258,2.96859,94.6816,2.44258,2.96183,93.4645,2.44258,2.96183,93.4645,2.44258,2.96859,94.6816,2.99814,3.03913,73.7784,2.99814,3.03913,73.7784,2.99814,3.03913,73.7784,2.99814,3.03913,73.7784,
0.101,-1.36176e-06,4.00045,1.33518,-0.0112687,0.0102217,0.000396813,0.099995,-1.36176e-06,4.00045,-1.33518,-0.0112686,-0.0102217,-0.000396812,0.099995,-1.30617,4.00967,1.27895e-16,-0.000395914,4.88461e-13,-1.5708,0.099995,1.30617,3.99061,6.60191e-16,-0.000431304,5.03089e-13,-1.5708,0.099995,0.0167975,2.72319,4.04774e-14,-1.56579,7.03493e-12,-9.39227e-13,0.099995,-0.0167975,5.27708,-3.9647e-14,-1.56579,5.89907e-12,-7.81357e-13,0.099995,2.44258,2.96667,94.3347,2.44258,2.96001,93.1359,2.44258,2.95803,92.7804,2.44258,2.95455,92.153,2.44258,2.96473,93.9861,2.44258,2.96667,94.3347,2.44258,2.96001,93.1359,2.44258,2.95803,92.7804,2.44258,2.95455,92.153,2.44258,2.96473,93.9861,2.44258,2.96474,93.9872,2.44258,2.95953,93.0503,2.44258,2.95652,92.5077,2.44258,2.96474,93.9872,2.44258,2.95652,92.5077,2.44258,2.95953,93.0503,2.44258,2.96788,94.5523,2.44258,2.96001,93.1367,2.44258,2.96001,93.1367,2.44258,2.96788,94.5523,2.99814,3.03883,73.2481,2.99814,3.03883,73.248,2.99814,3.04057,76.3752,2.99814,3.04057,76.3752,
