tgDataLogger2 started logging at time 04122024_161122, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(activated_cable).RestLen,9_SCA(activated_cable).CurrLen,9_SCA(activated_cable).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,
0.0101,-1.03542e-16,4.49505,1.53832,-0.00545953,3.0551e-16,-1.23217e-15,0.099995,4.21367e-16,4.49505,-1.53832,-0.00545953,-2.03977e-17,-9.7914e-16,0.099995,-1.51686,4.50246,2.0833e-16,-0.00133493,4.08744e-17,-1.5708,0.099995,1.51686,4.48763,-2.23365e-16,-0.00133493,-1.0018e-16,-1.5708,0.099995,0.0133576,2.99208,1.29009e-15,-1.56981,-1.50235e-15,1.5632e-16,0.099995,-0.0133576,5.99801,-1.13638e-15,-1.56981,-2.21261e-15,-2.69672e-16,0.099995,2.99814,3.03104,59.2149,2.99814,3.03104,59.2149,2.99814,3.03104,59.2149,2.99814,3.03104,59.2149,2.59814,2.98717,97.2567,2.59814,2.9862,97.0155,2.59814,2.9858,96.9146,2.59814,2.98518,96.7602,2.59814,2.98709,97.2369,2.59814,2.98717,97.2567,2.59814,2.9862,97.0155,2.59814,2.9858,96.9146,2.59814,2.98518,96.7602,2.59814,2.98709,97.2369,2.59814,2.98709,97.2369,2.59814,2.9858,96.9146,2.59814,2.98518,96.7602,2.59814,2.98709,97.2369,2.59814,2.98518,96.7602,2.59814,2.9858,96.9146,2.59814,2.98717,97.2567,2.59814,2.9862,97.0155,2.59814,2.9862,97.0155,2.59814,2.98717,97.2567,
0.0202,-6.58886e-16,4.48008,1.46922,-0.0070807,-3.23484e-16,-3.28301e-15,0.099995,-4.2975e-17,4.48008,-1.46922,-0.0070807,2.90369e-16,-3.64202e-15,0.099995,-1.44247,4.48948,4.08534e-16,0.00314242,4.18502e-17,-1.5708,0.099995,1.44247,4.47069,-2.08852e-16,0.00314242,-1.86483e-16,-1.5708,0.099995,0.0166189,3.05692,4.65293e-15,-1.56935,-2.05927e-15,1.30158e-17,0.099995,-0.0166189,5.90325,-4.05414e-15,-1.56935,-1.57962e-15,-1.61726e-16,0.099995,2.99814,3.03154,60.1192,2.99814,3.03154,60.1192,2.99814,3.03154,60.1192,2.99814,3.03154,60.1192,2.59814,2.9746,94.1151,2.59814,2.97423,94.0228,2.59814,2.97335,93.802,2.59814,2.97266,93.6304,2.59814,2.97452,94.0959,2.59814,2.9746,94.1151,2.59814,2.97423,94.0228,2.59814,2.97335,93.802,2.59814,2.97266,93.6304,2.59814,2.97452,94.0959,2.59814,2.97452,94.0959,2.59814,2.97335,93.802,2.59814,2.97266,93.6304,2.59814,2.97452,94.0959,2.59814,2.97266,93.6304,2.59814,2.97335,93.802,2.59814,2.9746,94.1151,2.59814,2.97423,94.0228,2.59814,2.97423,94.0228,2.59814,2.9746,94.1151,
0.0303,-6.91204e-16,4.45512,1.36676,-0.00858133,1.78317e-15,-5.58686e-15,0.099995,4.16219e-17,4.45512,-1.36676,-0.00858133,-1.73671e-15,-6.4249e-15,0.099995,-1.33724,4.4657,6.7325e-16,-0.00163027,7.01479e-17,-1.5708,0.099995,1.33724,4.44453,1.58816e-16,-0.00163027,-2.05565e-16,-1.5708,0.099995,0.0179562,3.14315,8.10002e-15,-1.56835,-1.02954e-14,-1.71996e-16,0.099995,-0.0179562,5.76708,-7.11169e-15,-1.56835,-9.42097e-15,-1.27241e-16,0.099995,2.99814,3.03212,61.1609,2.99814,3.03212,61.1609,2.99814,3.03212,61.1609,2.99814,3.03212,61.1609,2.59814,2.96465,91.6282,2.59814,2.96449,91.5872,2.59814,2.96327,91.2826,2.59814,2.96254,91.1005,2.59814,2.96465,91.6267,2.59814,2.96465,91.6282,2.59814,2.96449,91.5872,2.59814,2.96327,91.2826,2.59814,2.96254,91.1005,2.59814,2.96465,91.6267,2.59814,2.96465,91.6267,2.59814,2.96327,91.2826,2.59814,2.96254,91.1005,2.59814,2.96465,91.6267,2.59814,2.96254,91.1005,2.59814,2.96327,91.2826,2.59814,2.96465,91.6282,2.59814,2.96449,91.5872,2.59814,2.96449,91.5872,2.59814,2.96465,91.6282,
0.0404,-9.76778e-17,4.42014,1.24765,-0.00916626,-2.66094e-15,-8.20159e-15,0.099995,4.30185e-16,4.42014,-1.24765,-0.00916626,2.93956e-15,-9.15759e-15,0.099995,-1.22008,4.43019,6.31237e-16,-0.000477154,8.64922e-17,-1.5708,0.099995,1.22008,4.4101,2.4208e-16,-0.000477154,-1.69163e-16,-1.5708,0.099995,0.0161575,3.22897,1.09523e-14,-1.56744,-1.22149e-14,-1.38492e-16,0.099995,-0.0161575,5.61131,-9.63017e-15,-1.56744,-1.35993e-14,-1.05222e-16,0.099995,2.99814,3.0335,63.6473,2.99814,3.0335,63.6473,2.99814,3.0335,63.6473,2.99814,3.0335,63.6473,2.59814,2.96434,91.551,2.59814,2.96393,91.4484,2.59814,2.96257,91.1075,2.59814,2.96198,90.9601,2.59814,2.96419,91.5124,2.59814,2.96434,91.551,2.59814,2.96393,91.4484,2.59814,2.96257,91.1075,2.59814,2.96198,90.9601,2.59814,2.96419,91.5124,2.59814,2.96419,91.5124,2.59814,2.96257,91.1075,2.59814,2.96198,90.9601,2.59814,2.96419,91.5124,2.59814,2.96198,90.9601,2.59814,2.96257,91.1075,2.59814,2.96434,91.551,2.59814,2.96393,91.4484,2.59814,2.96393,91.4484,2.59814,2.96434,91.551,
0.0505,-1.54802e-16,4.37516,1.14076,-0.00887854,1.10362e-15,-1.09113e-14,0.099995,6.74938e-16,4.37516,-1.14076,-0.00887854,-8.60984e-16,-1.17488e-14,0.099995,-1.11858,4.38325,7.05484e-16,0.00125878,1.75424e-16,-1.5708,0.099995,1.11858,4.36706,2.89923e-16,0.00125878,-2.22478e-16,-1.5708,0.099995,0.0122526,3.28488,1.28344e-14,-1.56693,-5.02094e-15,-1.67358e-16,0.099995,-0.0122526,5.46543,-1.09885e-14,-1.56693,-4.81993e-15,-1.3769e-16,0.099995,2.99814,3.03559,67.4141,2.99814,3.03559,67.4141,2.99814,3.03559,67.4141,2.99814,3.03559,67.4141,2.59814,2.97367,93.8831,2.59814,2.97202,93.4701,2.59814,2.97079,93.1625,2.59814,2.96998,92.9604,2.59814,2.97308,93.7339,2.59814,2.97367,93.8831,2.59814,2.97202,93.4701,2.59814,2.97079,93.1625,2.59814,2.96998,92.9604,2.59814,2.97308,93.7339,2.59814,2.97308,93.7339,2.59814,2.97079,93.1625,2.59814,2.96998,92.9604,2.59814,2.97308,93.7339,2.59814,2.96998,92.9604,2.59814,2.97079,93.1625,2.59814,2.97367,93.8831,2.59814,2.97202,93.4701,2.59814,2.97202,93.4701,2.59814,2.97367,93.8831,
0.0606,4.37133e-17,4.32017,1.08111,-0.00861762,9.08807e-15,-1.63542e-14,0.099995,8.95863e-16,4.32017,-1.08111,-0.00861762,-8.98828e-15,-1.50944e-14,0.099995,-1.06324,4.32658,5.99868e-16,-0.00168786,1.58185e-16,-1.5708,0.099995,1.06324,4.31375,1.88473e-16,-0.00168786,-2.78748e-16,-1.5708,0.099995,0.00925309,3.28288,1.67759e-14,-1.56663,-1.82824e-14,-1.65692e-16,0.099995,-0.00925309,5.35745,-1.54019e-14,-1.56663,-1.85534e-14,-1.7093e-16,0.099995,2.99814,3.03744,70.7458,2.99814,3.03744,70.7458,2.99814,3.03744,70.7458,2.99814,3.03744,70.7458,2.59814,2.98283,96.1714,2.59814,2.97954,95.3505,2.59814,2.97842,95.0708,2.59814,2.97675,94.6534,2.59814,2.98169,95.8863,2.59814,2.98283,96.1714,2.59814,2.97954,95.3505,2.59814,2.97842,95.0708,2.59814,2.97675,94.6534,2.59814,2.98169,95.8863,2.59814,2.98169,95.8863,2.59814,2.97842,95.0708,2.59814,2.97675,94.6534,2.59814,2.98169,95.8863,2.59814,2.97675,94.6534,2.59814,2.97842,95.0708,2.59814,2.98283,96.1714,2.59814,2.97954,95.3505,2.59814,2.97954,95.3505,2.59814,2.98283,96.1714,
0.0707,-9.20707e-16,4.25517,1.08342,-0.0090994,-7.95814e-15,-1.97541e-14,0.099995,-1.33758e-16,4.25517,-1.08342,-0.0090994,7.7549e-15,-2.00375e-14,0.099995,-1.06584,4.26133,5.74211e-16,-0.00224571,-2.1684e-17,-1.5708,0.099995,1.06584,4.24901,2.29883e-16,-0.00224571,-2.15539e-16,-1.5708,0.099995,0.00901781,3.21536,2.10313e-14,-1.56616,-3.01297e-14,-1.53721e-16,0.099995,-0.00901781,5.29498,-2.0049e-14,-1.56616,-2.72624e-14,-2.06728e-16,0.099995,2.99814,3.03834,72.3554,2.99814,3.03834,72.3554,2.99814,3.03834,72.3554,2.99814,3.03834,72.3554,2.59814,2.98316,96.254,2.59814,2.97861,95.118,2.59814,2.97747,94.8327,2.59814,2.97488,94.1845,2.59814,2.9816,95.8657,2.59814,2.98316,96.254,2.59814,2.97861,95.118,2.59814,2.97747,94.8327,2.59814,2.97488,94.1845,2.59814,2.9816,95.8657,2.59814,2.9816,95.8657,2.59814,2.97747,94.8327,2.59814,2.97488,94.1845,2.59814,2.9816,95.8657,2.59814,2.97488,94.1845,2.59814,2.97747,94.8327,2.59814,2.98316,96.254,2.59814,2.97861,95.118,2.59814,2.97861,95.118,2.59814,2.98316,96.254,
0.0808,-7.8073e-17,4.18017,1.13766,-0.0100873,3.0927e-15,-2.36159e-14,0.099995,6.36405e-16,4.18017,-1.13766,-0.0100873,-7.28887e-15,-2.34392e-14,0.099995,-1.11683,4.18739,2.27218e-16,0.000168812,3.94514e-17,-1.5708,0.099995,1.11683,4.17295,2.10584e-16,0.000168812,-1.44443e-16,-1.5708,0.099995,0.0111328,3.09197,2.5794e-14,-1.56563,-1.38809e-14,-1.47065e-16,0.099995,-0.0111328,5.26837,-2.50672e-14,-1.56563,-1.56342e-14,-2.10298e-16,0.099995,2.99814,3.0385,72.6425,2.99814,3.0385,72.6425,2.99814,3.0385,72.6425,2.99814,3.0385,72.6425,2.59814,2.97605,94.4782,2.59814,2.97063,93.1218,2.59814,2.96957,92.857,2.59814,2.96655,92.1029,2.59814,2.97427,94.0333,2.59814,2.97605,94.4782,2.59814,2.97063,93.1218,2.59814,2.96957,92.857,2.59814,2.96655,92.1029,2.59814,2.97427,94.0333,2.59814,2.97427,94.0333,2.59814,2.96957,92.857,2.59814,2.96655,92.1029,2.59814,2.97427,94.0333,2.59814,2.96655,92.1029,2.59814,2.96957,92.857,2.59814,2.97605,94.4782,2.59814,2.97063,93.1218,2.59814,2.97063,93.1218,2.59814,2.97605,94.4782,
0.0909,-5.81423e-16,4.09516,1.22577,-0.0108902,2.88581e-15,-2.75606e-14,0.099995,-3.73413e-16,4.09516,-1.22577,-0.0108902,1.24162e-15,-2.72283e-14,0.099995,-1.20019,4.10394,1.71712e-16,-0.00221291,-1.31405e-16,-1.5708,0.099995,1.20019,4.08637,3.99771e-16,-0.00221291,-2.42644e-16,-1.5708,0.099995,0.014304,2.92567,3.23086e-14,-1.5655,-3.48843e-14,-1.1532e-16,0.099995,-0.014304,5.26464,-3.16788e-14,-1.5655,-2.83005e-14,-2.2009e-16,0.099995,2.99814,3.03859,72.8044,2.99814,3.03859,72.8044,2.99814,3.03859,72.8044,2.99814,3.03859,72.8044,2.59814,2.96835,92.5532,2.59814,2.96237,91.0562,2.59814,2.96139,90.8124,2.59814,2.95849,90.0867,2.59814,2.96638,92.0591,2.59814,2.96835,92.5532,2.59814,2.96237,91.0562,2.59814,2.96139,90.8124,2.59814,2.95849,90.0867,2.59814,2.96638,92.0591,2.59814,2.96638,92.0591,2.59814,2.96139,90.8124,2.59814,2.95849,90.0867,2.59814,2.96638,92.0591,2.59814,2.95849,90.0867,2.59814,2.96139,90.8124,2.59814,2.96835,92.5532,2.59814,2.96237,91.0562,2.59814,2.96237,91.0562,2.59814,2.96835,92.5532,
0.101,-1.27458e-06,4.00044,1.3281,-0.0109594,0.0100807,0.000391453,0.099995,-1.27458e-06,4.00044,-1.3281,-0.0109594,-0.0100807,-0.000391453,0.099995,-1.299,4.00993,-8.56523e-17,0.000222318,4.51185e-13,-1.5708,0.099995,1.299,3.99034,2.22842e-16,0.000187399,4.63466e-13,-1.5708,0.099995,0.0169592,2.73078,3.88468e-14,-1.56605,6.56196e-12,-8.4437e-13,0.099995,-0.0169592,5.2695,-3.85589e-14,-1.56605,5.46783e-12,-6.98165e-13,0.099995,2.99814,3.03818,72.0763,2.99814,3.03818,72.0763,2.99814,3.0399,75.1726,2.99814,3.0399,75.1726,2.59814,2.96581,91.9173,2.59814,2.96008,90.4847,2.59814,2.95842,90.0701,2.59814,2.95536,89.3053,2.59814,2.96419,91.5119,2.59814,2.96581,91.9173,2.59814,2.96008,90.4847,2.59814,2.95842,90.0701,2.59814,2.95536,89.3053,2.59814,2.96419,91.5119,2.59814,2.96419,91.5134,2.59814,2.95991,90.4437,2.59814,2.95732,89.7944,2.59814,2.96419,91.5134,2.59814,2.95732,89.7944,2.59814,2.95991,90.4437,2.59814,2.96701,92.2171,2.59814,2.96008,90.4857,2.59814,2.96008,90.4857,2.59814,2.96701,92.2171,
