tgDataLogger2 started logging at time 04082024_113101, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(activated_cable).RestLen,30_SCA(activated_cable).CurrLen,30_SCA(activated_cable).Tension,31_SCA(activated_cable).RestLen,31_SCA(activated_cable).CurrLen,31_SCA(activated_cable).Tension,32_SCA(activated_cable).RestLen,32_SCA(activated_cable).CurrLen,32_SCA(activated_cable).Tension,
0.2001,-0.0728029,3.46053,0.914573,-0.155258,0.102255,0.689165,0.100138,0.572123,4.80248,-0.848455,-0.203792,0.043713,0.688481,0.100138,-0.831498,4.5065,-0.0957247,-0.361443,-0.0827647,-0.874717,0.100138,1.33948,3.77107,0.14947,-0.306058,-0.113358,-0.880488,0.100138,0.0439557,3.2766,-0.712432,-1.84097,0.487284,0.119367,0.100138,0.466341,5.00539,0.748287,-1.87899,0.160623,0.107284,0.100138,2.98843,3.00054,48.4461,2.98843,2.9961,30.6729,2.98843,2.99346,20.1249,2.98843,2.99303,18.4109,2.98843,3.0059,69.8647,2.98843,2.99348,20.1997,2.98843,2.99099,10.2297,2.98843,2.99175,13.2612,2.98843,2.99565,28.8574,2.98843,2.99109,10.6338,2.98843,2.98496,0,2.98843,2.99667,32.9586,2.98843,2.99315,18.869,2.98843,2.99428,23.4151,2.98843,2.99605,30.4732,2.98843,2.99203,14.4149,2.98843,2.99197,14.1432,2.98843,2.99188,13.7872,2.98843,2.98989,5.82263,2.98843,2.99281,17.5092,2.98843,2.9915,12.2617,2.98843,2.991,10.2759,2.98843,2.99156,12.5065,2.98843,2.99789,37.8198,5.82569,5.4746,0,5.82569,5.46198,0,5.82569,5.46863,0,
0.4002,0.539217,3.09161,0.975161,-0.648814,0.127564,0.820557,0.100138,1.48778,4.2781,-0.471453,-0.596804,0.17719,0.822158,0.100138,0.225,4.38236,0.305502,-0.735282,0.0643809,-0.761836,0.100138,1.79309,2.9866,0.19248,-0.730132,0.0607037,-0.761102,0.100138,0.500847,3.18357,-0.500613,-2.30758,0.29918,-0.0529984,0.100138,1.52673,4.1992,1.01315,-2.32133,0.395375,-0.0599718,0.100138,2.98843,3.00906,82.5117,2.98843,3.00545,68.0843,2.98843,2.99532,27.5693,2.98843,3.0068,73.475,2.98843,3.00652,72.3536,2.98843,3.00771,77.1004,2.98843,3.00717,74.9394,2.98843,3.00469,65.0203,2.98843,2.98741,0,2.98843,3.00712,74.7619,2.98843,3.00549,68.243,2.98843,3.00785,77.6866,2.98843,3.00586,69.6996,2.98843,3.00637,71.7376,2.98843,3.00779,77.4225,2.98843,3.00822,79.1756,2.98843,3.00564,68.8362,2.98843,3.00114,50.8437,2.98843,3.0042,63.0809,2.98843,3.00764,76.8289,2.98843,3.00657,72.5629,2.98843,3.00546,68.1277,2.98843,3.00696,74.1131,2.98843,3.00653,72.402,5.82569,5.38051,0,5.82569,5.36796,0,5.82569,5.39022,0,
0.6003,1.03108,2.89877,1.32097,-0.375948,0.420595,0.796107,0.100138,1.64783,4.28531,-0.377614,-0.449823,0.348761,0.751444,0.100138,0.395631,4.22994,0.681542,-0.6213,0.190234,-0.858379,0.100138,2.22897,3.01072,0.277659,-0.632451,0.15487,-0.871623,0.100138,0.722153,2.96333,-0.233935,-2.21126,0.241382,-0.168997,0.100138,1.93042,4.21751,1.21904,-2.24036,0.282919,-0.19201,0.100138,2.98843,2.99732,35.5671,2.98843,2.9982,39.073,2.98843,3.00229,55.4243,2.98843,3.00128,51.4017,2.98843,2.96363,0,2.98843,3.00413,62.7861,2.98843,3.00152,52.3535,2.98843,3.00922,83.1686,2.98843,3.00267,56.9439,2.98843,2.9998,45.4871,2.98843,3.00708,74.5886,2.98843,2.99926,43.3257,2.98843,3.00104,50.4366,2.98843,2.88175,0,2.98843,3.0026,56.6639,2.98843,3.00445,64.0795,2.98843,3.00064,48.8213,2.98843,3.00863,80.7936,2.98843,3.00536,67.7158,2.98843,2.9997,45.0784,2.98843,3.0008,49.4724,2.98843,3.00094,50.0471,2.98843,3.00355,60.4638,2.98843,2.99723,35.2106,5.82569,5.44355,0,5.82569,5.43052,0,5.82569,5.37004,0,
0.8004,0.975625,2.96291,1.3459,-0.5558,0.231388,0.703586,0.100138,1.6874,4.36063,-0.568488,-0.497349,0.305874,0.705651,0.100138,0.331373,4.3916,0.553499,-0.637198,0.136041,-0.891318,0.100138,2.30818,2.93453,0.228048,-0.47884,-0.00659056,-0.887462,0.100138,0.671244,2.98449,-0.367812,-2.22729,0.256435,-0.132878,0.100138,1.98868,4.37002,1.17,-2.25283,0.289594,-0.141522,0.100138,2.98843,2.99248,16.2116,2.98843,2.99352,20.3711,2.98843,2.9923,15.4597,2.98843,2.99219,15.0274,2.98843,2.99118,10.9927,2.98843,2.99665,32.8728,2.98843,2.99293,17.9963,2.98843,2.99541,27.9138,2.98843,2.92037,0,2.98843,2.99249,16.2539,2.98843,2.99583,29.6161,2.98843,2.99462,24.7564,2.98843,2.99189,13.8509,2.98843,2.96204,0,2.98843,2.99581,29.5021,2.98843,2.99526,27.3292,2.98843,2.99282,17.5609,2.98843,2.99296,18.1108,2.98843,2.99377,21.3396,2.98843,2.99425,23.2656,2.98843,2.99334,19.6366,2.98843,2.99218,14.9784,2.98843,2.99618,31.0105,2.98843,2.99305,18.4686,5.82569,5.52083,0,5.82569,5.48969,0,5.82569,5.52831,0,
1.0005,0.977425,2.97761,1.34762,-0.529882,0.261358,0.700536,0.100138,1.63812,4.35737,-0.509192,-0.501752,0.295089,0.703866,0.100138,0.339169,4.36342,0.594999,-0.625309,0.146687,-0.893045,0.100138,2.27065,2.97011,0.243561,-0.606653,0.127424,-0.891633,0.100138,0.667874,2.98037,-0.322946,-2.22378,0.207755,-0.148365,0.100138,1.947,4.36073,1.16908,-2.23625,0.256176,-0.151841,0.100138,2.98843,2.99098,10.1875,2.98843,2.99086,9.69883,2.98843,2.98979,5.4281,2.98843,2.9906,8.67108,2.98843,2.98801,0,2.98843,2.99259,16.6179,2.98843,2.99061,8.70788,2.98843,2.99263,16.8046,2.98843,2.97295,0,2.98843,2.99057,8.56455,2.98843,2.99248,16.2048,2.98843,2.99121,11.1005,2.98843,2.99058,8.59711,2.98843,2.98307,0,2.98843,2.9926,16.6638,2.98843,2.99249,16.2543,2.98843,2.99058,8.58348,2.98843,2.99125,11.26,2.98843,2.99131,11.5268,2.98843,2.99128,11.3802,2.98843,2.9913,11.4786,2.98843,2.99058,8.59273,2.98843,2.99245,16.0808,2.98843,2.9912,11.0946,5.82569,5.50015,0,5.82569,5.49419,0,5.82569,5.50283,0,
1.2006,1.005,2.97957,1.3218,-0.500099,0.314548,0.699014,0.100138,1.59957,4.30965,-0.468339,-0.505931,0.30814,0.695127,0.100138,0.376061,4.30942,0.617115,-0.62386,0.164466,-0.903242,0.100138,2.22442,2.97945,0.237678,-0.609353,0.150573,-0.901287,0.100138,0.675089,2.97904,-0.275751,-2.23135,0.219629,-0.168114,0.100138,1.92783,4.30973,1.13413,-2.23883,0.251308,-0.17052,0.100138,2.98843,2.99259,16.6394,2.98843,2.99346,20.1054,2.98843,2.99235,15.6863,2.98843,2.99326,19.3082,2.98843,2.98931,3.52322,2.98843,2.99457,24.5415,2.98843,2.99326,19.325,2.98843,2.99456,24.5046,2.98843,2.98926,3.30972,2.98843,2.9931,18.6607,2.98843,2.99477,25.3466,2.98843,2.99297,18.1727,2.98843,2.99329,19.4492,2.98843,2.98937,3.77045,2.98843,2.99456,24.4995,2.98843,2.99478,25.3775,2.98843,2.9931,18.6931,2.98843,2.99294,18.0553,2.98843,2.99364,20.838,2.98843,2.99365,20.8577,2.98843,2.99364,20.8511,2.98843,2.99309,18.6467,2.98843,2.99475,25.2732,2.98843,2.99299,18.2416,5.82569,5.46199,0,5.82569,5.46221,0,5.82569,5.46276,0,
1.4007,1.01919,2.9789,1.30898,-0.505066,0.318813,0.693576,0.100138,1.58713,4.28514,-0.454733,-0.50779,0.315928,0.690071,0.100138,0.394395,4.28486,0.622932,-0.620757,0.169197,-0.908047,0.100138,2.20649,2.97886,0.233424,-0.611387,0.158683,-0.906944,0.100138,0.680824,2.97848,-0.256607,-2.23562,0.230196,-0.176213,0.100138,1.92403,4.28514,1.11719,-2.24167,0.249575,-0.178416,0.100138,2.98843,2.99476,25.3112,2.98843,2.99553,28.388,2.98843,2.99469,25.0493,2.98843,2.99538,27.784,2.98843,2.99004,6.42981,2.98843,2.99623,31.199,2.98843,2.99538,27.7817,2.98843,2.99625,31.2894,2.98843,2.9901,6.67808,2.98843,2.99508,26.5847,2.98843,2.99666,32.9199,2.98843,2.99443,23.9815,2.98843,2.99538,27.7887,2.98843,2.9901,6.66352,2.98843,2.99625,31.2741,2.98843,2.99667,32.9439,2.98843,2.99507,26.5545,2.98843,2.99447,24.1667,2.98843,2.99552,28.3448,2.98843,2.9955,28.2927,2.98843,2.99553,28.3784,2.98843,2.99507,26.5731,2.98843,2.99665,32.884,2.98843,2.99447,24.1504,5.82569,5.44539,0,5.82569,5.44567,0,5.82569,5.44594,0,
1.6008,1.0136,2.97935,1.31339,-0.515823,0.302118,0.691943,0.100138,1.59291,4.29326,-0.458144,-0.506256,0.313166,0.692638,0.100138,0.38915,4.29313,0.620307,-0.62161,0.166405,-0.905755,0.100138,2.21335,2.97921,0.236605,-0.605535,0.151227,-0.903605,0.100138,0.680624,2.97898,-0.263534,-2.23689,0.242695,-0.173286,0.100138,1.92499,4.29335,1.12368,-2.24051,0.250957,-0.17476,0.100138,2.98843,2.99461,24.7082,2.98843,2.99498,26.21,2.98843,2.99425,23.2794,2.98843,2.99457,24.5458,2.98843,2.98985,5.68348,2.98843,2.99561,28.7205,2.98843,2.99456,24.5187,2.98843,2.99562,28.7575,2.98843,2.98986,5.69997,2.98843,2.99434,23.6259,2.98843,2.99595,30.0627,2.98843,2.9939,21.8867,2.98843,2.99457,24.5492,2.98843,2.98988,5.78744,2.98843,2.99562,28.7722,2.98843,2.99596,30.1069,2.98843,2.99433,23.6081,2.98843,2.99391,21.9306,2.98843,2.99482,25.5602,2.98843,2.99482,25.5633,2.98843,2.99483,25.6074,2.98843,2.99434,23.6218,2.98843,2.99595,30.0665,2.98843,2.99393,21.9854,5.82569,5.45113,0,5.82569,5.4512,0,5.82569,5.45152,0,
1.8009,1.00284,2.97994,1.32249,-0.528514,0.279517,0.691587,0.100138,1.60331,4.30998,-0.465916,-0.504061,0.307512,0.697086,0.100138,0.377422,4.30991,0.615792,-0.622277,0.160941,-0.901417,0.100138,2.22656,2.97978,0.241827,-0.595121,0.137619,-0.897718,0.100138,0.678649,2.9796,-0.27713,-2.23815,0.261104,-0.167833,0.100138,1.92709,4.31005,1.13669,-2.23855,0.254333,-0.168306,0.100138,2.98843,2.9937,21.0829,2.98843,2.99375,21.2935,2.98843,2.99321,19.123,2.98843,2.99313,18.7804,2.98843,2.98933,3.59373,2.98843,2.99449,24.2261,2.98843,2.99312,18.7515,2.98843,2.99449,24.2407,2.98843,2.98932,3.56741,2.98843,2.99297,18.1625,2.98843,2.99466,24.9283,2.98843,2.99291,17.9146,2.98843,2.99312,18.7712,2.98843,2.98933,3.61095,2.98843,2.99449,24.2516,2.98843,2.99467,24.9614,2.98843,2.99297,18.1487,2.98843,2.99291,17.9183,2.98843,2.99353,20.3978,2.98843,2.99353,20.4119,2.98843,2.99354,20.4281,2.98843,2.99297,18.1564,2.98843,2.99467,24.9418,2.98843,2.99292,17.9549,5.82569,5.46276,0,5.82569,5.46272,0,5.82569,5.463,0,
2.001,0.996502,2.98021,1.3281,-0.537526,0.264459,0.691175,0.100138,1.60957,4.32004,-0.470661,-0.502952,0.304051,0.699562,0.100138,0.370251,4.32,0.61323,-0.622421,0.15763,-0.898863,0.100138,2.23445,2.98002,0.2449,-0.591469,0.131438,-0.894701,0.100138,0.677395,2.97986,-0.285112,-2.23887,0.27255,-0.164665,0.100138,1.9285,4.32012,1.14469,-2.23747,0.256523,-0.164575,0.100138,2.98843,2.99317,18.965,2.98843,2.99295,18.0777,2.98843,2.9926,16.6964,2.98843,2.99237,15.746,2.98843,2.98899,2.22607,2.98843,2.99387,21.7507,2.98843,2.99236,15.7227,2.98843,2.99387,21.7593,2.98843,2.98898,2.20927,2.98843,2.99225,15.2851,2.98843,2.99398,22.1863,2.98843,2.99235,15.6739,2.98843,2.99236,15.7322,2.98843,2.98899,2.22944,2.98843,2.99387,21.7707,2.98843,2.99398,22.2137,2.98843,2.99225,15.2737,2.98843,2.99235,15.673,2.98843,2.99285,17.6593,2.98843,2.99285,17.6743,2.98843,2.99285,17.683,2.98843,2.99225,15.2769,2.98843,2.99398,22.2023,2.98843,2.99236,15.7018,5.82469,5.46986,0,5.82469,5.46976,0,5.82469,5.46999,0,
