tgDataLogger2 started logging at time 04082024_113121, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(springs).RestLen,30_SCA(springs).CurrLen,30_SCA(springs).Tension,31_SCA(springs).RestLen,31_SCA(springs).CurrLen,31_SCA(springs).Tension,32_SCA(springs).RestLen,32_SCA(springs).CurrLen,32_SCA(springs).Tension,
0.2001,-0.0728551,3.46043,0.914549,-0.155276,0.10226,0.689209,0.100138,0.572125,4.8025,-0.848468,-0.203812,0.0437212,0.688528,0.100138,-0.831541,4.5065,-0.0957361,-0.361566,-0.0826711,-0.874663,0.100138,1.33948,3.77099,0.149442,-0.306083,-0.113347,-0.880444,0.100138,0.0439087,3.27658,-0.712517,-1.84102,0.487166,0.119347,0.100138,0.466342,5.00534,0.748325,-1.87902,0.16065,0.107273,0.100138,5.82569,5.47463,0,5.82569,5.462,0,5.82569,5.46866,0,2.98843,3.00054,48.4478,2.98843,2.9961,30.6682,2.98843,2.99346,20.1084,2.98843,2.99303,18.3792,2.98843,3.0059,69.8738,2.98843,2.99348,20.1857,2.98843,2.99099,10.2236,2.98843,2.99174,13.2513,2.98843,2.99564,28.8513,2.98843,2.99109,10.6203,2.98843,2.98495,0,2.98843,2.99667,32.9541,2.98843,2.99314,18.8542,2.98843,2.99428,23.4038,2.98843,2.99605,30.4696,2.98843,2.99203,14.4006,2.98843,2.99196,14.1301,2.98843,2.99187,13.7731,2.98843,2.98988,5.81099,2.98843,2.99281,17.5031,2.98843,2.99149,12.2476,2.98843,2.99099,10.2566,2.98843,2.99155,12.4911,2.98843,2.99788,37.8126,
0.4002,0.543987,3.08952,0.966125,-0.659478,0.120616,0.819152,0.100138,1.49251,4.27496,-0.485138,-0.606375,0.172255,0.818966,0.100138,0.228163,4.38252,0.295086,-0.734716,0.0634675,-0.763159,0.100138,1.79631,2.97972,0.179467,-0.744801,0.0743629,-0.763559,0.100138,0.502375,3.1842,-0.510749,-2.30802,0.296863,-0.0536314,0.100138,1.53407,4.1962,1.00338,-2.32429,0.396489,-0.0613918,0.100138,5.82569,5.38009,0,5.82569,5.36534,0,5.82569,5.39277,0,2.98843,3.0093,83.4762,2.98843,3.00525,67.2964,2.98843,2.99578,29.3819,2.98843,3.00734,75.6567,2.98843,3.00648,72.1989,2.98843,3.00801,78.3162,2.98843,3.00752,76.3624,2.98843,3.00453,64.3974,2.98843,2.97942,0,2.98843,3.00755,76.4686,2.98843,3.00568,69.0062,2.98843,3.0081,78.6781,2.98843,3.00566,68.9092,2.98843,3.00663,72.8059,2.98843,3.00786,77.7035,2.98843,3.00816,78.898,2.98843,3.00578,69.3792,2.98843,3.0012,51.0589,2.98843,3.00435,63.6923,2.98843,3.00794,78.0247,2.98843,3.0066,72.6634,2.98843,3.00543,68.0064,2.98843,3.00736,75.7132,2.98843,3.00657,72.5585,
0.6003,1.04831,2.90195,1.29533,-0.400869,0.393744,0.785931,0.100138,1.68082,4.28795,-0.425655,-0.45152,0.341027,0.748636,0.100138,0.409696,4.23796,0.640715,-0.629767,0.191411,-0.861736,0.100138,2.26386,3.00119,0.246603,-0.624368,0.140254,-0.871075,0.100138,0.744,2.9498,-0.278113,-2.21208,0.256552,-0.162672,0.100138,1.95809,4.2277,1.19211,-2.23112,0.242446,-0.182902,0.100138,5.82569,5.44632,0,5.82569,5.44324,0,5.82569,5.38019,0,2.98843,2.99709,34.6416,2.98843,2.99773,37.1846,2.98843,3.00164,52.8567,2.98843,3.0005,48.2879,2.98843,2.94844,0,2.98843,3.00332,59.5482,2.98843,3.00086,49.7131,2.98843,3.00776,77.327,2.98843,3.00199,54.2496,2.98843,2.99961,44.7252,2.98843,3.00636,71.7187,2.98843,2.99847,40.1619,2.98843,3.0001,46.6856,2.98843,2.88452,0,2.98843,3.00173,53.1812,2.98843,3.00359,60.6351,2.98843,3.00017,46.9767,2.98843,3.00723,75.1824,2.98843,3.00485,65.6629,2.98843,2.99962,44.7657,2.98843,3.00041,47.9014,2.98843,3.00051,48.3069,2.98843,3.00296,58.1312,2.98843,2.99648,32.1806,
0.8004,1.01595,2.96344,1.34859,-0.546653,0.23442,0.709482,0.100138,1.73822,4.40638,-0.552777,-0.469622,0.320538,0.727521,0.100138,0.374523,4.41235,0.568461,-0.655573,0.159761,-0.882093,0.100138,2.37077,2.97335,0.228979,-0.474221,0.00285057,-0.871305,0.100138,0.722647,2.98591,-0.385883,-2.24815,0.37422,-0.145149,0.100138,2.02935,4.39659,1.18526,-2.24289,0.289695,-0.145791,0.100138,5.82569,5.5428,0,5.82569,5.52697,0,5.82569,5.52949,0,2.98843,2.99127,11.3372,2.98843,2.99127,11.3599,2.98843,2.99152,12.3448,2.98843,2.98966,4.90826,2.98843,2.992,14.2704,2.98843,2.99228,15.411,2.98843,2.99003,6.40547,2.98843,2.99186,13.7202,2.98843,2.97504,0,2.98843,2.9898,5.48807,2.98843,2.99157,12.5649,2.98843,2.99186,13.7162,2.98843,2.98957,4.57383,2.98843,2.96252,0,2.98843,2.99205,14.4893,2.98843,2.99162,12.7628,2.98843,2.98996,6.11073,2.98843,2.99067,8.95869,2.98843,2.9905,8.26176,2.98843,2.99083,9.61038,2.98843,2.99041,7.9282,2.98843,2.98971,5.09926,2.98843,2.99174,13.223,2.98843,2.99076,9.30323,
1.0005,1.05833,2.9777,1.33142,-0.542033,0.248746,0.696732,0.100138,1.70686,4.36033,-0.557366,-0.529182,0.262819,0.687898,0.100138,0.3934,4.36271,0.573714,-0.611986,0.146668,-0.898887,0.100138,2.35515,2.96283,0.206285,-0.605539,0.129101,-0.898346,0.100138,0.732081,2.96189,-0.35147,-2.20453,0.137928,-0.148807,0.100138,2.02924,4.37125,1.14845,-2.22762,0.218915,-0.154882,0.100138,5.82569,5.49749,0,5.82569,5.50415,0,5.82569,5.51142,0,2.98843,2.99278,17.3915,2.98843,2.99233,15.6146,2.98843,2.98943,3.9948,2.98843,2.99214,14.8491,2.98843,2.96198,0,2.98843,2.99392,21.9624,2.98843,2.99208,14.6018,2.98843,2.99371,21.0997,2.98843,2.96261,0,2.98843,2.99217,14.9591,2.98843,2.99398,22.2052,2.98843,2.99218,14.9989,2.98843,2.9921,14.6881,2.98843,2.9816,0,2.98843,2.99379,21.4259,2.98843,2.9939,21.8799,2.98843,2.99209,14.6418,2.98843,2.99189,13.8545,2.98843,2.99272,17.1602,2.98843,2.99289,17.8221,2.98843,2.99269,17.0223,2.98843,2.99207,14.575,2.98843,2.99398,22.2012,2.98843,2.99203,14.4024,
1.2006,1.09974,2.97938,1.29652,-0.481545,0.345629,0.700851,0.100138,1.67341,4.29981,-0.488303,-0.512261,0.311336,0.688363,0.100138,0.467414,4.30095,0.601488,-0.623712,0.170617,-0.909003,0.100138,2.29946,2.97844,0.207917,-0.630603,0.173497,-0.910439,0.100138,0.756041,2.97921,-0.287586,-2.23565,0.22886,-0.175841,0.100138,2.01478,4.30087,1.10091,-2.24096,0.243494,-0.177892,0.100138,5.82569,5.45544,0,5.82569,5.45538,0,5.82569,5.45707,0,2.98843,2.99256,16.5104,2.98843,2.99385,21.6783,2.98843,2.99296,18.1244,2.98843,2.99405,22.4758,2.98843,2.99004,6.43261,2.98843,2.99533,27.59,2.98843,2.99393,22.0142,2.98843,2.99494,26.0355,2.98843,2.9889,1.86781,2.98843,2.99385,21.6699,2.98843,2.99531,27.5329,2.98843,2.99378,21.3873,2.98843,2.99408,22.5799,2.98843,2.99019,7.03854,2.98843,2.99541,27.9257,2.98843,2.99551,28.3339,2.98843,2.99377,21.3704,2.98843,2.99302,18.3462,2.98843,2.99407,22.5516,2.98843,2.9945,24.28,2.98843,2.99441,23.9309,2.98843,2.99378,21.3789,2.98843,2.99557,28.566,2.98843,2.99394,22.041,
1.4007,1.11284,2.97883,1.28388,-0.496723,0.337696,0.692305,0.100138,1.66217,4.27965,-0.480355,-0.50765,0.325729,0.684972,0.100138,0.482055,4.27991,0.604887,-0.61726,0.173276,-0.913213,0.100138,2.28424,2.9775,0.200552,-0.655718,0.198182,-0.920465,0.100138,0.760621,2.97772,-0.272028,-2.22998,0.189215,-0.181458,0.100138,2.0123,4.28065,1.08475,-2.24494,0.250278,-0.185882,0.100138,5.82569,5.44156,0,5.82569,5.44186,0,5.82569,5.44306,0,2.98843,2.99476,25.3272,2.98843,2.99482,25.5577,2.98843,2.99423,23.2035,2.98843,2.996,30.2707,2.98843,2.98998,6.19961,2.98843,2.99659,32.6214,2.98843,2.99621,31.1179,2.98843,2.99638,31.7913,2.98843,2.98976,5.30162,2.98843,2.99584,29.651,2.98843,2.99713,34.8105,2.98843,2.99464,24.8479,2.98843,2.99616,30.917,2.98843,2.99084,9.65601,2.98843,2.99674,33.2532,2.98843,2.9972,35.07,2.98843,2.99587,29.7438,2.98843,2.99442,23.9631,2.98843,2.99597,30.1731,2.98843,2.9962,31.0619,2.98843,2.9963,31.4613,2.98843,2.99576,29.3184,2.98843,2.99718,35.0134,2.98843,2.99519,27.0301,
1.6008,1.09822,2.97957,1.29422,-0.515159,0.305699,0.690747,0.100138,1.67502,4.29867,-0.486548,-0.506648,0.315588,0.691153,0.100138,0.469342,4.2988,0.599564,-0.624005,0.170046,-0.907852,0.100138,2.29982,2.97909,0.209323,-0.618966,0.163624,-0.907302,0.100138,0.759471,2.97908,-0.288495,-2.23648,0.235678,-0.175147,0.100138,2.01287,4.29907,1.10078,-2.24044,0.246034,-0.176672,0.100138,5.82569,5.4548,0,5.82569,5.45481,0,5.82569,5.4553,0,2.98843,2.9941,22.696,2.98843,2.99415,22.8764,2.98843,2.99366,20.9137,2.98843,2.99409,22.6449,2.98843,2.98966,4.91589,2.98843,2.99523,27.1863,2.98843,2.99409,22.6281,2.98843,2.99521,27.1335,2.98843,2.98957,4.56076,2.98843,2.9939,21.879,2.98843,2.9955,28.2812,2.98843,2.99355,20.4947,2.98843,2.99412,22.7581,2.98843,2.98985,5.67672,2.98843,2.99528,27.4013,2.98843,2.99555,28.48,2.98843,2.9939,21.8674,2.98843,2.99351,20.3233,2.98843,2.99437,23.7438,2.98843,2.9944,23.8899,2.98843,2.99444,24.0299,2.98843,2.99389,21.8429,2.98843,2.99552,28.3442,2.98843,2.99368,20.9941,
1.8009,1.08566,2.98005,1.30436,-0.527377,0.28227,0.691157,0.100138,1.68689,4.3175,-0.494824,-0.504012,0.309055,0.696508,0.100138,0.455926,4.3175,0.594505,-0.62279,0.162265,-0.902305,0.100138,2.31457,2.97986,0.215739,-0.602563,0.144552,-0.899495,0.100138,0.757339,2.97975,-0.30386,-2.23849,0.259969,-0.168972,0.100138,2.01473,4.31758,1.116,-2.23878,0.253189,-0.16938,0.100138,5.82569,5.46793,0,5.82569,5.46791,0,5.82569,5.46807,0,2.98843,2.99305,18.4685,2.98843,2.99289,17.8379,2.98843,2.99266,16.9312,2.98843,2.99255,16.4829,2.98843,2.98909,2.64824,2.98843,2.99403,22.3986,2.98843,2.99255,16.4613,2.98843,2.99403,22.4065,2.98843,2.98909,2.63255,2.98843,2.99243,15.994,2.98843,2.99415,22.8717,2.98843,2.9925,16.2652,2.98843,2.99255,16.474,2.98843,2.98911,2.70631,2.98843,2.99404,22.4351,2.98843,2.99416,22.9085,2.98843,2.99243,15.9805,2.98843,2.9925,16.267,2.98843,2.99302,18.3388,2.98843,2.99302,18.3578,2.98843,2.99303,18.3803,2.98843,2.99243,15.9854,2.98843,2.99415,22.8924,2.98843,2.99251,16.3286,
2.001,1.08114,2.98021,1.308,-0.533173,0.272193,0.69105,0.100138,1.69124,4.32417,-0.497883,-0.503182,0.306569,0.698312,0.100138,0.45101,4.32418,0.592578,-0.622934,0.159919,-0.900446,0.100138,2.31979,2.98001,0.218074,-0.599094,0.139438,-0.897153,0.100138,0.756625,2.97991,-0.309322,-2.23911,0.268813,-0.166692,0.100138,2.01541,4.32424,1.12154,-2.23798,0.254646,-0.166679,0.100138,5.82469,5.47267,0,5.82469,5.47263,0,5.82469,5.47276,0,2.98843,2.99269,17.0273,2.98843,2.99241,15.9184,2.98843,2.9923,15.4595,2.98843,2.99208,14.5933,2.98843,2.98885,1.69413,2.98843,2.99363,20.8089,2.98843,2.99207,14.5766,2.98843,2.99363,20.8108,2.98843,2.98885,1.68375,2.98843,2.99198,14.1917,2.98843,2.99372,21.1409,2.98843,2.99213,14.8166,2.98843,2.99208,14.5817,2.98843,2.98886,1.6983,2.98843,2.99364,20.8222,2.98843,2.99372,21.1624,2.98843,2.99198,14.1831,2.98843,2.99213,14.8121,2.98843,2.99259,16.6188,2.98843,2.99259,16.6332,2.98843,2.99259,16.638,2.98843,2.99198,14.1838,2.98843,2.99372,21.1564,2.98843,2.99214,14.8371,
