tgDataLogger2 started logging at time 04092024_090749, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(springs).RestLen,30_SCA(springs).CurrLen,30_SCA(springs).Tension,31_SCA(springs).RestLen,31_SCA(springs).CurrLen,31_SCA(springs).Tension,32_SCA(springs).RestLen,32_SCA(springs).CurrLen,32_SCA(springs).Tension,
0.2001,-0.289293,3.16082,0.987986,-0.285407,0.099444,0.812631,0.0326286,0.735627,4.77357,-0.813597,-0.266195,0.117696,0.815046,0.0326286,-0.932667,4.57535,-0.0311759,-0.490911,-0.0820396,-0.758387,0.0326286,1.3832,3.3607,0.202897,-0.475051,-0.0955707,-0.759997,0.0326286,-0.12026,3.13104,-0.863008,-2.02812,0.288527,0.0923526,0.0326286,0.569756,4.80809,1.03262,-2.03628,0.191354,0.0908375,0.0326286,5.81557,5.59221,0,5.81557,5.59063,0,5.81557,5.5937,0,2.96588,2.9744,26.4003,2.96588,2.97514,28.7113,2.96588,2.97397,25.0738,2.96588,2.97316,22.5466,2.96588,2.97828,38.4325,2.96588,2.97407,25.3724,2.96588,2.9739,24.868,2.96588,2.97446,26.6006,2.96588,2.9735,23.6154,2.96588,2.97363,24.0047,2.96588,2.97393,24.9392,2.96588,2.9736,23.9345,2.96588,2.97399,25.1301,2.96588,2.975,28.2542,2.96588,2.97555,29.9698,2.96588,2.9745,26.728,2.96588,2.97377,24.4603,2.96588,2.97395,24.9989,2.96588,2.97338,23.2428,2.96588,2.97378,24.4933,2.96588,2.97441,26.4293,2.96588,2.97331,23.0379,2.96588,2.97434,26.2153,2.96588,2.97627,32.2145,
0.4002,0.408764,3.21563,1.21096,-0.613663,0.13811,0.994443,0.0326286,1.9552,4.61193,-0.187155,-0.607518,0.142008,0.995464,0.0326286,0.337514,4.84137,0.503872,-0.849866,0.0195819,-0.590959,0.0326286,2.02696,2.98626,0.519977,-0.845241,0.0130332,-0.590888,0.0326286,0.669747,3.43803,-0.530059,-2.40026,0.382184,0.0070891,0.0326286,1.6945,4.38958,1.5533,-2.40012,0.391547,0.00718387,0.0326286,5.81557,5.54097,0,5.81557,5.54115,0,5.81557,5.54118,0,2.96588,2.97416,25.661,2.96588,2.97401,25.1925,2.96588,2.97413,25.5547,2.96588,2.97403,25.2675,2.96588,2.97419,25.7393,2.96588,2.97407,25.3766,2.96588,2.97388,24.7869,2.96588,2.97402,25.2239,2.96588,2.97415,25.6185,2.96588,2.97391,24.8846,2.96588,2.97385,24.6972,2.96588,2.9741,25.4659,2.96588,2.9739,24.8593,2.96588,2.97401,25.2082,2.96588,2.97406,25.3616,2.96588,2.97392,24.9067,2.96588,2.97388,24.7979,2.96588,2.97403,25.251,2.96588,2.97385,24.7153,2.96588,2.97392,24.9295,2.96588,2.97395,25.0197,2.96588,2.97393,24.9455,2.96588,2.97404,25.2976,2.96588,2.97409,25.4478,
0.6003,0.793703,3.23604,1.45749,-0.800082,0.224338,1.13271,0.0326286,2.64879,4.47711,0.310691,-0.812,0.218962,1.13041,0.0326286,1.08587,4.93038,1.02014,-1.03399,0.102662,-0.477172,0.0326286,2.35566,2.78467,0.748837,-1.02969,0.092179,-0.476851,0.0326286,1.16302,3.6679,-0.223881,-2.67429,0.550456,-0.127213,0.0326286,2.27837,4.04575,1.99196,-2.67282,0.535163,-0.126499,0.0326286,5.81557,5.54112,0,5.81557,5.54046,0,5.81557,5.53884,0,2.96588,2.97391,24.8722,2.96588,2.97265,20.9755,2.96588,2.97543,29.5939,2.96588,2.97391,24.8918,2.96588,2.97379,24.5195,2.96588,2.97478,27.5783,2.96588,2.9737,24.2236,2.96588,2.97474,27.4745,2.96588,2.97285,21.5998,2.96588,2.97371,24.2613,2.96588,2.97468,27.283,2.96588,2.97459,26.9961,2.96588,2.97406,25.3593,2.96588,2.9719,18.6602,2.96588,2.97417,25.7012,2.96588,2.97444,26.5371,2.96588,2.97393,24.9606,2.96588,2.97404,25.2973,2.96588,2.97424,25.9178,2.96588,2.97425,25.9472,2.96588,2.97381,24.5906,2.96588,2.97399,25.1496,2.96588,2.97447,26.6255,2.96588,2.97336,23.167,
0.8004,1.23075,3.22647,1.78937,-0.89898,0.326691,1.24584,0.0326286,3.23329,4.36053,0.860041,-0.918232,0.320337,1.23992,0.0326286,1.74066,4.89688,1.61406,-1.14487,0.218077,-0.393663,0.0326286,2.72192,2.69248,1.03609,-1.1542,0.238028,-0.395711,0.0326286,1.6867,3.84199,0.211053,-2.88738,0.601211,-0.285586,0.0326286,2.77509,3.74663,2.43848,-2.8988,0.628116,-0.293099,0.0326286,5.81557,5.53023,0,5.81557,5.53313,0,5.81557,5.52825,0,2.96588,2.97459,26.9976,2.96588,2.97233,19.9832,2.96588,2.97455,26.8833,2.96588,2.9751,28.5672,2.96588,2.97387,24.7606,2.96588,2.97425,25.9422,2.96588,2.97448,26.6654,2.96588,2.97361,23.9699,2.96588,2.9748,27.6552,2.96588,2.97495,28.1179,2.96588,2.97444,26.5306,2.96588,2.97419,25.7569,2.96588,2.97304,22.1773,2.96588,2.97369,24.21,2.96588,2.97424,25.8968,2.96588,2.97173,18.1179,2.96588,2.97409,25.4534,2.96588,2.97482,27.7029,2.96588,2.97509,28.5463,2.96588,2.97407,25.3696,2.96588,2.97543,29.5932,2.96588,2.9756,30.1293,2.96588,2.97414,25.5976,2.96588,2.97466,27.2192,
1.0005,1.20183,3.2191,1.67305,-0.888787,0.302878,1.21554,0.0326286,3.20488,4.31917,0.670635,-0.9222,0.29099,1.20566,0.0326286,1.70825,4.88986,1.41537,-1.15272,0.190128,-0.421215,0.0326286,2.69615,2.65155,0.929606,-1.15034,0.181524,-0.420907,0.0326286,1.64498,3.76805,0.0570164,-2.85045,0.561349,-0.231015,0.0326286,2.75908,3.77144,2.2889,-2.8611,0.591846,-0.237644,0.0326286,5.81557,5.53509,0,5.81557,5.53203,0,5.81557,5.53301,0,2.96588,2.97395,25.0216,2.96588,2.97299,22.0335,2.96588,2.97334,23.1257,2.96588,2.9741,25.4702,2.96588,2.9741,25.4655,2.96588,2.97549,29.7806,2.96588,2.9743,26.0957,2.96588,2.9748,27.6587,2.96588,2.97179,18.3131,2.96588,2.97405,25.3177,2.96588,2.97521,28.9196,2.96588,2.97521,28.9192,2.96588,2.97435,26.2533,2.96588,2.9715,17.4005,2.96588,2.97438,26.3334,2.96588,2.97464,27.1444,2.96588,2.97446,26.589,2.96588,2.97372,24.2886,2.96588,2.97451,26.7586,2.96588,2.97487,27.8504,2.96588,2.97402,25.2387,2.96588,2.97417,25.6952,2.96588,2.97506,28.439,2.96588,2.9734,23.3085,
1.2006,1.19965,3.22186,1.67843,-0.914923,0.296159,1.20803,0.0326286,3.21785,4.32081,0.667855,-0.9261,0.292095,1.20484,0.0326286,1.71648,4.89986,1.41935,-1.16101,0.19964,-0.423156,0.0326286,2.69995,2.64453,0.927622,-1.15908,0.192897,-0.422789,0.0326286,1.6463,3.7716,0.0510256,-2.86053,0.576491,-0.23546,0.0326286,2.76998,3.77175,2.29579,-2.86198,0.578957,-0.236566,0.0326286,5.81557,5.5419,0,5.81557,5.54168,0,5.81557,5.53962,0,2.96588,2.97394,24.987,2.96588,2.97244,20.3272,2.96588,2.97472,27.3976,2.96588,2.97411,25.4944,2.96588,2.9737,24.2281,2.96588,2.97453,26.8071,2.96588,2.97376,24.414,2.96588,2.97438,26.3541,2.96588,2.97328,22.9206,2.96588,2.97392,24.9142,2.96588,2.97455,26.8574,2.96588,2.97435,26.2625,2.96588,2.97457,26.9198,2.96588,2.9723,19.8978,2.96588,2.97399,25.1352,2.96588,2.97365,24.0863,2.96588,2.97381,24.5701,2.96588,2.97422,25.8534,2.96588,2.97445,26.5743,2.96588,2.97403,25.2619,2.96588,2.9742,25.7911,2.96588,2.97437,26.3153,2.96588,2.97422,25.8327,2.96588,2.97362,23.9755,
1.4007,1.19993,3.22181,1.67904,-0.914178,0.296535,1.20833,0.0326286,3.21818,4.32084,0.668674,-0.924359,0.292824,1.2054,0.0326286,1.71683,4.89979,1.42023,-1.16005,0.197615,-0.422905,0.0326286,2.70018,2.64454,0.928074,-1.16049,0.195998,-0.422994,0.0326286,1.64662,3.77159,0.051718,-2.86117,0.57808,-0.235917,0.0326286,2.7703,3.77169,2.29653,-2.86207,0.578859,-0.236738,0.0326286,5.81557,5.54199,0,5.81557,5.54204,0,5.81557,5.53954,0,2.96588,2.97395,25.0161,2.96588,2.97234,20.0279,2.96588,2.97474,27.4476,2.96588,2.97415,25.6367,2.96588,2.97364,24.0419,2.96588,2.97445,26.5497,2.96588,2.97377,24.4609,2.96588,2.97433,26.1786,2.96588,2.97349,23.5884,2.96588,2.97396,25.0523,2.96588,2.97451,26.7394,2.96588,2.97427,25.9957,2.96588,2.97464,27.1546,2.96588,2.97234,20.0248,2.96588,2.97395,25.0175,2.96588,2.97349,23.5978,2.96588,2.97377,24.4636,2.96588,2.97433,26.1735,2.96588,2.97451,26.7361,2.96588,2.97396,25.0555,2.96588,2.97426,25.9867,2.96588,2.97444,26.5404,2.96588,2.97415,25.6388,2.96588,2.97364,24.0394,
1.6008,1.19998,3.22181,1.67915,-0.914138,0.296545,1.20836,0.0326286,3.21828,4.32085,0.668793,-0.924228,0.292868,1.20543,0.0326286,1.71689,4.89982,1.42033,-1.15993,0.197325,-0.422873,0.0326286,2.70025,2.64452,0.928177,-1.16089,0.196848,-0.423063,0.0326286,1.64669,3.7716,0.0518361,-2.86109,0.577805,-0.235861,0.0326286,2.7704,3.77169,2.29669,-2.86192,0.57838,-0.236647,0.0326286,5.81557,5.54202,0,5.81557,5.54202,0,5.81557,5.53955,0,2.96588,2.97395,25.0115,2.96588,2.97234,20.0263,2.96588,2.9747,27.3498,2.96588,2.97415,25.6313,2.96588,2.97364,24.039,2.96588,2.97444,26.5446,2.96588,2.97377,24.4563,2.96588,2.97433,26.179,2.96588,2.97349,23.5861,2.96588,2.97396,25.0453,2.96588,2.97451,26.735,2.96588,2.97427,25.9904,2.96588,2.97469,27.3042,2.96588,2.97234,20.0257,2.96588,2.97395,25.0117,2.96588,2.97349,23.5984,2.96588,2.97377,24.4591,2.96588,2.97433,26.1735,2.96588,2.97451,26.7329,2.96588,2.97396,25.049,2.96588,2.97426,25.9837,2.96588,2.97444,26.5369,2.96588,2.97415,25.6336,2.96588,2.97364,24.0376,
1.8009,1.19998,3.22182,1.67919,-0.914163,0.296526,1.20837,0.0326286,3.21835,4.32086,0.66884,-0.92427,0.292843,1.20542,0.0326286,1.71692,4.89985,1.42036,-1.15992,0.197296,-0.422859,0.0326286,2.70029,2.64451,0.928207,-1.1613,0.197713,-0.423127,0.0326286,1.64673,3.77161,0.0518728,-2.86099,0.577489,-0.23579,0.0326286,2.77046,3.77169,2.29677,-2.86179,0.577971,-0.236564,0.0326286,5.81557,5.54205,0,5.81557,5.54201,0,5.81557,5.53958,0,2.96588,2.97395,25.0093,2.96588,2.97234,20.0259,2.96588,2.97466,27.2257,2.96588,2.97415,25.6285,2.96588,2.97364,24.0373,2.96588,2.97444,26.5423,2.96588,2.97377,24.4537,2.96588,2.97433,26.1806,2.96588,2.97349,23.5869,2.96588,2.97396,25.0423,2.96588,2.97451,26.7337,2.96588,2.97427,25.9877,2.96588,2.97473,27.4302,2.96588,2.97234,20.028,2.96588,2.97395,25.0078,2.96588,2.9735,23.6027,2.96588,2.97377,24.456,2.96588,2.97433,26.175,2.96588,2.97451,26.7329,2.96588,2.97396,25.0457,2.96588,2.97426,25.9824,2.96588,2.97444,26.5353,2.96588,2.97415,25.6302,2.96588,2.97364,24.0371,
2.001,1.19994,3.22184,1.67914,-0.91418,0.296506,1.20839,0.0326286,3.21841,4.32088,0.668803,-0.924274,0.292828,1.20543,0.0326286,1.71692,4.8999,1.42029,-1.15993,0.197289,-0.422843,0.0326286,2.70029,2.64448,0.928155,-1.16172,0.198594,-0.423188,0.0326286,1.64673,3.77163,0.0518095,-2.8609,0.577194,-0.235718,0.0326286,2.77049,3.7717,2.29679,-2.86165,0.577542,-0.236472,0.0326286,5.81457,5.54209,0,5.81457,5.542,0,5.81457,5.53961,0,2.96588,2.97395,25.0055,2.96588,2.97234,20.0263,2.96588,2.97462,27.1013,2.96588,2.97415,25.6241,2.96588,2.97364,24.0352,2.96588,2.97444,26.5393,2.96588,2.97377,24.4493,2.96588,2.97433,26.1824,2.96588,2.97349,23.5886,2.96588,2.97396,25.0378,2.96588,2.97451,26.7316,2.96588,2.97426,25.9842,2.96588,2.97477,27.5605,2.96588,2.97234,20.0313,2.96588,2.97395,25.0023,2.96588,2.9735,23.6075,2.96588,2.97377,24.451,2.96588,2.97433,26.1767,2.96588,2.97451,26.7321,2.96588,2.97396,25.0408,2.96588,2.97426,25.9797,2.96588,2.97444,26.5322,2.96588,2.97415,25.6251,2.96588,2.97364,24.0361,
