tgDataLogger2 started logging at time 04092024_091045, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(activated_cable).RestLen,30_SCA(activated_cable).CurrLen,30_SCA(activated_cable).Tension,31_SCA(activated_cable).RestLen,31_SCA(activated_cable).CurrLen,31_SCA(activated_cable).Tension,32_SCA(activated_cable).RestLen,32_SCA(activated_cable).CurrLen,32_SCA(activated_cable).Tension,
0.2001,-0.271637,3.11613,0.928389,-0.118417,0.259876,0.863835,0.0326286,0.63532,4.59956,-0.666174,-0.56108,-0.137457,0.834459,0.0326286,-0.86907,4.41032,0.0448839,-0.430728,-0.128452,-0.748986,0.0326286,1.21412,3.31469,0.212606,-0.533074,-0.0162938,-0.741387,0.0326286,-0.141408,3.12448,-0.735312,-2.04264,0.17746,0.0721636,0.0326286,0.496226,4.59975,0.99603,-2.04542,0.190631,0.0687121,0.0326286,2.98175,2.97831,0,2.98175,2.97857,0,2.98175,2.9772,0,2.98175,2.97658,0,2.98175,2.97779,0,2.98175,2.97571,0,2.98175,2.9818,0.331984,2.98175,2.98184,0.581391,2.98175,2.98184,0.579777,2.98175,2.97834,0,2.98175,2.97644,0,2.98175,2.97584,0,2.98175,2.97595,0,2.98175,2.97579,0,2.98175,2.97635,0,2.98175,2.97483,0,2.98175,2.97769,0,2.98175,2.97505,0,2.98175,2.98008,0,2.98175,2.98164,0,2.98175,2.97815,0,2.98175,2.98181,0.398906,2.98175,2.98179,0.269119,2.98175,2.98178,0.231378,5.81557,5.47937,0,5.81557,5.48471,0,5.81557,5.4808,0,
0.4002,0.271011,3.04467,1.24873,-0.575894,0.242217,0.873935,0.0326286,1.41881,4.39671,-0.391933,-0.609004,0.228427,0.839797,0.0326286,-0.0442203,4.57142,0.507832,-0.806912,0.111221,-0.747613,0.0326286,1.68334,2.90109,0.344126,-0.910715,0.185404,-0.771204,0.0326286,0.226692,3.24114,-0.424682,-2.33481,0.260827,-0.057802,0.0326286,1.46175,4.26337,1.32971,-2.36503,0.186184,-0.0774825,0.0326286,2.98175,2.9847,17.9892,2.98175,2.98245,4.301,2.98175,2.98369,11.8601,2.98175,2.98476,18.3886,2.98175,2.98402,13.8639,2.98175,2.98531,21.7092,2.98175,2.98432,15.7268,2.98175,2.98441,16.2729,2.98175,2.86972,0,2.98175,2.98444,16.3995,2.98175,2.98476,18.3741,2.98175,2.98517,20.8628,2.98175,2.98432,15.7157,2.98175,2.90677,0,2.98175,2.98474,18.2388,2.98175,2.98458,17.278,2.98175,2.98421,15.0392,2.98175,2.98342,10.2352,2.98175,2.98418,14.8262,2.98175,2.98502,19.9643,2.98175,2.98407,14.1734,2.98175,2.98423,15.167,2.98175,2.98523,21.2774,2.98175,2.98382,12.6612,5.81557,5.48646,0,5.81557,5.42282,0,5.81557,5.47735,0,
0.6003,0.30529,3.02244,1.33231,-0.510397,0.307734,0.932319,0.0326286,1.49628,4.44221,-0.206518,-0.569104,0.267208,0.902618,0.0326286,0.0308628,4.58467,0.67577,-0.812515,0.135647,-0.702839,0.0326286,1.73269,2.96383,0.456915,-0.803941,0.0907029,-0.71498,0.0326286,0.285701,3.2728,-0.326055,-2.36873,0.346393,-0.0862462,0.0326286,1.50468,4.23021,1.47685,-2.38396,0.280054,-0.108855,0.0326286,2.98175,2.98245,4.29996,2.98175,2.9821,2.17076,2.98175,2.98244,4.20259,2.98175,2.98237,3.79173,2.98175,2.98247,4.40411,2.98175,2.98288,6.91454,2.98175,2.98228,3.26687,2.98175,2.98281,6.51409,2.98175,2.96569,0,2.98175,2.98225,3.05788,2.98175,2.98273,5.97277,2.98175,2.98282,6.55212,2.98175,2.98241,4.02102,2.98175,2.85795,0,2.98175,2.98257,5.01372,2.98175,2.98266,5.54379,2.98175,2.98234,3.62254,2.98175,2.98247,4.42956,2.98175,2.98248,4.4966,2.98175,2.98252,4.72825,2.98175,2.98233,3.54763,2.98175,2.98234,3.64573,2.98175,2.98267,5.63393,2.98175,2.98227,3.17939,5.81557,5.5055,0,5.81557,5.45669,0,5.81557,5.4297,0,
0.8004,0.0674743,2.91287,1.19626,-0.419423,0.222878,0.835286,0.0326286,1.00527,4.33378,-0.472021,-0.463436,0.178008,0.806785,0.0326286,-0.465531,4.30493,0.409259,-0.578922,0.00873331,-0.773975,0.0326286,1.47938,2.996,0.320715,-0.633565,0.0237859,-0.785349,0.0326286,0.0149608,2.95895,-0.467401,-2.17726,0.262872,-0.024141,0.0326286,1.03189,4.28672,1.22322,-2.19686,0.220634,-0.0467064,0.0326286,2.98175,2.98306,8.02027,2.98175,2.98327,9.28965,2.98175,2.98403,13.9432,2.98175,2.98365,11.6068,2.98175,2.93376,0,2.98175,2.98411,14.4337,2.98175,2.9837,11.9214,2.98175,2.98412,14.4835,2.98175,2.98288,6.926,2.98175,2.98366,11.6406,2.98175,2.98425,15.2527,2.98175,2.98331,9.53261,2.98175,2.98376,12.2796,2.98175,2.86973,0,2.98175,2.98413,14.5527,2.98175,2.98417,14.7852,2.98175,2.98358,11.1788,2.98175,2.9836,11.3132,2.98175,2.98384,12.7421,2.98175,2.98378,12.4204,2.98175,2.98383,12.7054,2.98175,2.98369,11.8307,2.98175,2.98426,15.3421,2.98175,2.98344,10.3126,5.81557,5.47696,0,5.81557,5.46981,0,5.81557,5.41905,0,
1.0005,-0.049652,2.97053,1.09763,-0.465748,0.150212,0.807091,0.0326286,0.88693,4.32158,-0.601107,-0.413304,0.196842,0.792959,0.0326286,-0.580508,4.30442,0.265868,-0.613638,0.0280381,-0.79543,0.0326286,1.38057,2.97175,0.239291,-0.59845,-0.0195612,-0.796183,0.0326286,-0.0782134,2.93874,-0.569957,-2.16134,0.255648,-0.00131503,0.0326286,0.896163,4.32508,1.10439,-2.17872,0.180145,-0.0118448,0.0326286,2.98175,2.98283,6.60847,2.98175,2.98278,6.32653,2.98175,2.98274,6.06232,2.98175,2.98269,5.74415,2.98175,2.90436,0,2.98175,2.98298,7.49926,2.98175,2.9827,5.81026,2.98175,2.98302,7.74325,2.98175,2.95037,0,2.98175,2.98265,5.48311,2.98175,2.98302,7.79574,2.98175,2.9826,5.18692,2.98175,2.98273,5.97929,2.98175,2.94668,0,2.98175,2.98299,7.60499,2.98175,2.98306,7.99851,2.98175,2.98267,5.64338,2.98175,2.98264,5.42858,2.98175,2.98278,6.30382,2.98175,2.98275,6.08997,2.98175,2.98278,6.30555,2.98175,2.98266,5.55137,2.98175,2.983,7.65497,2.98175,2.98263,5.36831,5.81557,5.44668,0,5.81557,5.47476,0,5.81557,5.45822,0,
1.2006,0.0400672,2.99184,1.09839,-0.470046,0.193502,0.771921,0.0326286,0.910331,4.2713,-0.592035,-0.467732,0.206015,0.758554,0.0326286,-0.462132,4.30494,0.281253,-0.67836,0.0750803,-0.828499,0.0326286,1.39855,2.93789,0.222043,-0.621424,0.0133946,-0.827385,0.0326286,-0.0400632,2.99325,-0.515292,-2.193,0.195613,-0.0248849,0.0326286,0.989438,4.29672,1.04377,-2.20958,0.246044,-0.0274951,0.0326286,2.98175,2.98253,4.80819,2.98175,2.98285,6.72992,2.98175,2.98266,5.56384,2.98175,2.98266,5.55787,2.98175,2.98212,2.26226,2.98175,2.983,7.64148,2.98175,2.9827,5.82464,2.98175,2.98291,7.12521,2.98175,2.90692,0,2.98175,2.98267,5.61864,2.98175,2.98298,7.55057,2.98175,2.98265,5.52899,2.98175,2.98251,4.68641,2.98175,2.98302,7.77192,2.98175,2.98298,7.51596,2.98175,2.98293,7.216,2.98175,2.98263,5.37545,2.98175,2.98258,5.07697,2.98175,2.9827,5.80178,2.98175,2.98275,6.11462,2.98175,2.98273,6.01287,2.98175,2.9825,4.57461,2.98175,2.98292,7.16839,2.98175,2.98287,6.87533,5.81557,5.43856,0,5.81557,5.41544,0,5.81557,5.46413,0,
1.4007,0.029999,2.98032,1.11021,-0.45462,0.205621,0.783231,0.0326286,0.866429,4.28413,-0.525169,-0.442961,0.215443,0.780136,0.0326286,-0.479647,4.27552,0.342714,-0.591752,0.0262959,-0.811206,0.0326286,1.36424,2.99033,0.244635,-0.62658,0.0493512,-0.81338,0.0326286,-0.0526786,2.97636,-0.477338,-2.1867,0.161756,-0.0410329,0.0326286,0.942244,4.27927,1.07341,-2.19285,0.208392,-0.04514,0.0326286,2.98175,2.98276,6.21027,2.98175,2.98256,4.98991,2.98175,2.98263,5.37298,2.98175,2.98275,6.09755,2.98175,2.96358,0,2.98175,2.98294,7.25714,2.98175,2.98279,6.38335,2.98175,2.98311,8.31049,2.98175,2.98207,1.94618,2.98175,2.98268,5.70963,2.98175,2.98309,8.21326,2.98175,2.98257,5.03249,2.98175,2.98275,6.13974,2.98175,2.96691,0,2.98175,2.98294,7.2868,2.98175,2.98305,7.95701,2.98175,2.98273,5.98024,2.98175,2.98285,6.73075,2.98175,2.9829,7.02201,2.98175,2.98274,6.07487,2.98175,2.98281,6.4613,2.98175,2.98272,5.93856,2.98175,2.98301,7.67905,2.98175,2.98257,5.04161,5.81557,5.42873,0,5.81557,5.43577,0,5.81557,5.42535,0,
1.6008,0.027111,2.98108,1.11054,-0.449542,0.208769,0.784611,0.0326286,0.866929,4.28473,-0.523978,-0.444777,0.211751,0.780394,0.0326286,-0.480853,4.27672,0.341444,-0.592992,0.0254404,-0.810448,0.0326286,1.36367,2.99046,0.24727,-0.617139,0.0392062,-0.811978,0.0326286,-0.0522423,2.9768,-0.478561,-2.188,0.19581,-0.039708,0.0326286,0.939837,4.28059,1.07462,-2.19221,0.201245,-0.04327,0.0326286,2.98175,2.98259,5.14223,2.98175,2.98247,4.38454,2.98175,2.98268,5.67772,2.98175,2.98261,5.27648,2.98175,2.96345,0,2.98175,2.98281,6.5063,2.98175,2.98264,5.45106,2.98175,2.98294,7.27715,2.98175,2.98206,1.91236,2.98175,2.98258,5.09047,2.98175,2.98295,7.31552,2.98175,2.98248,4.46137,2.98175,2.98261,5.27273,2.98175,2.96815,0,2.98175,2.98285,6.7072,2.98175,2.98292,7.14455,2.98175,2.98258,5.10216,2.98175,2.98271,5.8623,2.98175,2.98276,6.15743,2.98175,2.98265,5.49964,2.98175,2.98271,5.86142,2.98175,2.98261,5.26571,2.98175,2.98289,6.95032,2.98175,2.98251,4.65635,5.81557,5.4291,0,5.81557,5.43658,0,5.81557,5.42625,0,
1.8009,0.0288248,2.98292,1.10728,-0.450188,0.208593,0.783209,0.0326286,0.885906,4.28106,-0.552903,-0.443245,0.218608,0.774706,0.0326286,-0.478605,4.28905,0.316176,-0.619147,0.0374062,-0.815754,0.0326286,1.37859,2.96852,0.237579,-0.630402,0.0373656,-0.817432,0.0326286,-0.0489334,2.98173,-0.496042,-2.18895,0.200696,-0.0321358,0.0326286,0.958898,4.28859,1.06617,-2.19783,0.180911,-0.0359021,0.0326286,2.98175,2.98255,4.87853,2.98175,2.98252,4.70857,2.98175,2.98253,4.74875,2.98175,2.98259,5.12059,2.98175,2.96798,0,2.98175,2.98287,6.87365,2.98175,2.98257,5.04575,2.98175,2.98287,6.87384,2.98175,2.95049,0,2.98175,2.98253,4.77942,2.98175,2.9829,7.04877,2.98175,2.98254,4.83535,2.98175,2.98258,5.09443,2.98175,2.97048,0,2.98175,2.9829,7.01691,2.98175,2.98291,7.11653,2.98175,2.98252,4.72758,2.98175,2.98253,4.79637,2.98175,2.98264,5.46635,2.98175,2.98266,5.55418,2.98175,2.98266,5.5756,2.98175,2.98254,4.82176,2.98175,2.98292,7.13485,2.98175,2.98256,4.94666,5.81557,5.43397,0,5.81557,5.42975,0,5.81557,5.44153,0,
2.001,0.0341526,2.98767,1.09892,-0.456624,0.204119,0.778305,0.0326286,0.890546,4.27388,-0.558199,-0.468071,0.197811,0.766996,0.0326286,-0.465726,4.29012,0.305043,-0.617983,0.0299492,-0.81827,0.0326286,1.37891,2.96217,0.233099,-0.630755,0.0349025,-0.819839,0.0326286,-0.0425211,2.98944,-0.498058,-2.19251,0.200715,-0.0308606,0.0326286,0.965369,4.28657,1.05267,-2.20184,0.199954,-0.0332943,0.0326286,2.98175,2.98261,5.2885,2.98175,2.98255,4.89064,2.98175,2.98259,5.11723,2.98175,2.98265,5.50083,2.98175,2.97883,0,2.98175,2.98291,7.10909,2.98175,2.98264,5.42246,2.98175,2.98286,6.80253,2.98175,2.9422,0,2.98175,2.98261,5.24217,2.98175,2.98295,7.31349,2.98175,2.98258,5.06091,2.98175,2.98262,5.34364,2.98175,2.97816,0,2.98175,2.98291,7.09799,2.98175,2.98294,7.26887,2.98175,2.98258,5.11024,2.98175,2.98252,4.712,2.98175,2.98269,5.77629,2.98175,2.98273,6.01555,2.98175,2.9827,5.82493,2.98175,2.98259,5.12399,2.98175,2.98297,7.45178,2.98175,2.98257,4.9917,5.81457,5.43294,0,5.81457,5.42184,0,5.81457,5.44486,0,
