tgDataLogger2 started logging at time 04082024_231437, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(springs).RestLen,30_SCA(springs).CurrLen,30_SCA(springs).Tension,31_SCA(springs).RestLen,31_SCA(springs).CurrLen,31_SCA(springs).Tension,32_SCA(springs).RestLen,32_SCA(springs).CurrLen,32_SCA(springs).Tension,
0.2001,-0.170444,3.06826,0.715385,-0.187461,0.0390433,1.01454,0.0326286,0.750451,4.94456,-0.644229,-0.187811,0.0428189,0.99878,0.0326286,-0.864464,4.47953,-0.0837399,-0.396269,-0.0904224,-0.569059,0.0326286,1.43906,3.51574,0.145152,-0.39684,-0.0915347,-0.568844,0.0326286,0.118012,3.34469,-1.02143,-1.92351,0.446343,0.101192,0.0326286,0.457264,4.65441,1.09012,-1.92332,0.44541,0.101258,0.0326286,5.81557,5.48946,0,5.81557,5.54081,0,5.81557,5.5415,0,2.49814,2.94811,89.9943,2.49814,2.98058,96.4877,2.49814,2.97848,96.0674,2.49814,2.97891,96.1538,2.49814,2.94555,89.4815,2.49814,2.97918,96.2077,2.49814,2.97518,95.4077,2.49814,2.97646,95.6648,2.49814,2.96621,93.6135,2.49814,2.97592,95.5563,2.49814,2.97582,95.5351,2.49814,2.96578,93.527,2.49814,2.97015,94.4014,2.49814,2.97703,95.7777,2.49814,2.99091,98.553,2.49814,2.98155,96.6828,2.49814,2.97113,94.5987,2.49814,2.97426,95.2233,2.49814,2.9709,94.5518,2.49814,2.97476,95.3244,2.49814,2.98152,96.6769,2.49814,2.96935,94.2422,2.49814,2.97741,95.8536,2.49814,2.99167,98.7054,
0.4002,0.0410013,3.00707,0.651567,-0.437364,-0.225352,0.978451,0.0326286,1.70993,4.4053,-0.545835,-0.445823,-0.229779,0.972147,0.0326286,-0.0505638,4.40833,-0.385758,-0.6596,-0.360461,-0.537128,0.0326286,1.80174,3.00053,0.483884,-0.672926,-0.358547,-0.533511,0.0326286,0.78293,2.97374,-0.949973,-2.01455,0.509175,0.416692,0.0326286,0.962774,4.43317,1.05857,-2.04956,0.439385,0.400603,0.0326286,5.81557,5.50652,0,5.81557,5.52437,0,5.81557,5.49924,0,2.49814,2.97016,94.4035,2.49814,2.96737,93.8458,2.49814,2.97962,96.2964,2.49814,2.97367,95.1063,2.49814,2.95239,90.8491,2.49814,2.98085,96.5422,2.49814,2.97023,94.418,2.49814,2.98776,97.9235,2.49814,2.96465,93.3025,2.49814,2.97115,94.6029,2.49814,2.98359,97.0906,2.49814,2.97111,94.5938,2.49814,2.97329,95.0308,2.49814,2.95531,91.4332,2.49814,2.98676,97.7234,2.49814,2.98288,96.9473,2.49814,2.96809,93.9904,2.49814,2.98531,97.4331,2.49814,2.97878,96.1275,2.49814,2.97267,94.9054,2.49814,2.9789,96.1523,2.49814,2.97145,94.6626,2.49814,2.97892,96.1566,2.49814,2.97664,95.7,
0.6003,0.1341,2.97778,0.509704,-0.449762,-0.255669,1.00957,0.0326286,1.884,4.41975,-0.617115,-0.447214,-0.254674,1.00209,0.0326286,0.0835129,4.42472,-0.531148,-0.675724,-0.38279,-0.497932,0.0326286,1.92823,2.97249,0.419478,-0.680919,-0.385583,-0.496805,0.0326286,0.950112,2.97721,-1.08667,-2.02761,0.469084,0.441423,0.0326286,1.06029,4.42315,0.984623,-2.03625,0.472284,0.433782,0.0326286,5.81557,5.53169,0,5.81557,5.5222,0,5.81557,5.5312,0,2.49814,2.98066,96.5044,2.49814,2.97799,95.9695,2.49814,2.96997,94.3654,2.49814,2.97179,94.7299,2.49814,2.95321,91.0149,2.49814,2.98582,97.5352,2.49814,2.97368,95.1073,2.49814,2.98426,97.223,2.49814,2.95033,90.4374,2.49814,2.96915,94.2014,2.49814,2.98229,96.8293,2.49814,2.97808,95.9878,2.49814,2.97272,94.9161,2.49814,2.95473,91.3181,2.49814,2.98343,97.0581,2.49814,2.98138,96.6487,2.49814,2.97078,94.5274,2.49814,2.97424,95.2197,2.49814,2.9765,95.6728,2.49814,2.97752,95.8767,2.49814,2.97611,95.5939,2.49814,2.96938,94.2486,2.49814,2.98256,96.8849,2.49814,2.9761,95.592,
0.8004,0.126382,2.97671,0.510065,-0.449198,-0.258305,1.01155,0.0326286,1.88029,4.42521,-0.612635,-0.446681,-0.257659,1.0042,0.0326286,0.0765717,4.42676,-0.530935,-0.674991,-0.384578,-0.495376,0.0326286,1.92523,2.97533,0.425702,-0.679139,-0.388997,-0.495305,0.0326286,0.950744,2.97644,-1.08723,-2.02459,0.47368,0.443109,0.0326286,1.0508,4.42674,0.989733,-2.03157,0.476463,0.436994,0.0326286,5.81557,5.53388,0,5.81557,5.52882,0,5.81557,5.5322,0,2.49814,2.98139,96.6508,2.49814,2.98012,96.3959,2.49814,2.97387,95.1468,2.49814,2.97193,94.7571,2.49814,2.95179,90.7305,2.49814,2.98447,97.2663,2.49814,2.97297,94.9666,2.49814,2.98404,97.179,2.49814,2.95284,90.9392,2.49814,2.96934,94.2399,2.49814,2.98143,96.6589,2.49814,2.97665,95.7024,2.49814,2.97234,94.8393,2.49814,2.95253,90.8771,2.49814,2.9833,97.0326,2.49814,2.98134,96.6395,2.49814,2.9699,94.3516,2.49814,2.97558,95.4888,2.49814,2.97638,95.6482,2.49814,2.9765,95.6727,2.49814,2.97615,95.6021,2.49814,2.96924,94.219,2.49814,2.9821,96.7921,2.49814,2.97598,95.5675,
1.0005,0.123697,2.97665,0.509913,-0.449229,-0.259566,1.01222,0.0326286,1.87898,4.42627,-0.61097,-0.446546,-0.258763,1.00512,0.0326286,0.0750456,4.42725,-0.531123,-0.675064,-0.385487,-0.494375,0.0326286,1.92318,2.97584,0.427943,-0.678974,-0.390221,-0.494558,0.0326286,0.951075,2.9765,-1.08757,-2.02366,0.475305,0.443898,0.0326286,1.04728,4.42726,0.990831,-2.03059,0.477199,0.438313,0.0326286,5.81557,5.5338,0,5.81557,5.53039,0,5.81557,5.53261,0,2.49814,2.98121,96.6146,2.49814,2.98044,96.459,2.49814,2.97605,95.5812,2.49814,2.97186,94.7432,2.49814,2.95191,90.7538,2.49814,2.98416,97.2035,2.49814,2.97257,94.8857,2.49814,2.98384,97.1403,2.49814,2.95278,90.9279,2.49814,2.96924,94.2207,2.49814,2.98137,96.6459,2.49814,2.97647,95.6654,2.49814,2.97212,94.796,2.49814,2.95233,90.838,2.49814,2.98336,97.0441,2.49814,2.98134,96.6405,2.49814,2.96957,94.2867,2.49814,2.97581,95.5337,2.49814,2.97625,95.6225,2.49814,2.97627,95.6264,2.49814,2.97611,95.5937,2.49814,2.96909,94.19,2.49814,2.98187,96.7468,2.49814,2.97607,95.5865,
1.2006,0.122445,2.97659,0.509691,-0.449199,-0.260231,1.01259,0.0326286,1.87814,4.42643,-0.609935,-0.446494,-0.259342,1.00565,0.0326286,0.0744397,4.42716,-0.531131,-0.675119,-0.385989,-0.493824,0.0326286,1.92174,2.97604,0.428882,-0.679116,-0.390732,-0.494004,0.0326286,0.95123,2.97654,-1.08752,-2.02317,0.47616,0.444329,0.0326286,1.04531,4.42711,0.991191,-2.03017,0.477581,0.438996,0.0326286,5.81557,5.53344,0,5.81557,5.53097,0,5.81557,5.53242,0,2.49814,2.98105,96.5821,2.49814,2.98022,96.4162,2.49814,2.97723,95.8187,2.49814,2.97185,94.7424,2.49814,2.95202,90.7759,2.49814,2.98399,97.17,2.49814,2.97237,94.8453,2.49814,2.98378,97.1289,2.49814,2.95264,90.9005,2.49814,2.96918,94.2081,2.49814,2.9814,96.6526,2.49814,2.97639,95.6492,2.49814,2.97206,94.7845,2.49814,2.95234,90.8393,2.49814,2.98342,97.0558,2.49814,2.98136,96.6445,2.49814,2.96943,94.2577,2.49814,2.97593,95.5579,2.49814,2.9762,95.6127,2.49814,2.9762,95.6122,2.49814,2.9761,95.5915,2.49814,2.96908,94.1878,2.49814,2.98175,96.7211,2.49814,2.97609,95.5903,
1.4007,0.121653,2.97654,0.509403,-0.449135,-0.260717,1.01287,0.0326286,1.87763,4.42643,-0.609209,-0.44648,-0.259795,1.00603,0.0326286,0.0741121,4.42701,-0.531248,-0.675164,-0.386382,-0.493413,0.0326286,1.9207,2.97615,0.429454,-0.679292,-0.39109,-0.493548,0.0326286,0.9514,2.97655,-1.08746,-2.02281,0.476717,0.444704,0.0326286,1.04393,4.4269,0.991357,-2.02987,0.477882,0.439513,0.0326286,5.81557,5.53314,0,5.81557,5.53128,0,5.81557,5.53221,0,2.49814,2.9809,96.552,2.49814,2.97998,96.369,2.49814,2.97797,95.9653,2.49814,2.97187,94.7466,2.49814,2.95208,90.788,2.49814,2.98389,97.1491,2.49814,2.97226,94.8233,2.49814,2.98377,97.1257,2.49814,2.95254,90.8793,2.49814,2.96915,94.2025,2.49814,2.98144,96.6598,2.49814,2.97633,95.6379,2.49814,2.97206,94.7835,2.49814,2.95235,90.8416,2.49814,2.98347,97.0656,2.49814,2.98138,96.6479,2.49814,2.96935,94.2429,2.49814,2.976,95.5723,2.49814,2.97618,95.6087,2.49814,2.97617,95.6064,2.49814,2.9761,95.5921,2.49814,2.9691,94.1921,2.49814,2.98167,96.706,2.49814,2.97609,95.5896,
1.6008,0.121038,2.97649,0.509054,-0.449071,-0.26116,1.01313,0.0326286,1.87734,4.42644,-0.608651,-0.446483,-0.260224,1.00635,0.0326286,0.0739194,4.4269,-0.531508,-0.675218,-0.386752,-0.493044,0.0326286,1.91992,2.97622,0.429917,-0.679459,-0.391431,-0.493139,0.0326286,0.951632,2.97654,-1.08747,-2.0225,0.477154,0.445102,0.0326286,1.04283,4.42676,0.991451,-2.0296,0.478147,0.439997,0.0326286,5.81557,5.53292,0,5.81557,5.5315,0,5.81557,5.53206,0,2.49814,2.98075,96.5227,2.49814,2.9798,96.3326,2.49814,2.97846,96.0641,2.49814,2.9719,94.7517,2.49814,2.95212,90.7955,2.49814,2.98382,97.1355,2.49814,2.97219,94.8099,2.49814,2.98376,97.1245,2.49814,2.95246,90.8636,2.49814,2.96914,94.2005,2.49814,2.98147,96.6652,2.49814,2.97629,95.6292,2.49814,2.97207,94.7851,2.49814,2.95235,90.8421,2.49814,2.98351,97.0739,2.49814,2.9814,96.651,2.49814,2.96931,94.2341,2.49814,2.97605,95.5814,2.49814,2.97617,95.6068,2.49814,2.97616,95.6034,2.49814,2.97611,95.5935,2.49814,2.96913,94.1971,2.49814,2.98162,96.6963,2.49814,2.97608,95.5886,
1.8009,0.120516,2.97646,0.508656,-0.449018,-0.261597,1.01337,0.0326286,1.87722,4.42646,-0.608189,-0.446498,-0.260655,1.00663,0.0326286,0.0738204,4.42683,-0.531876,-0.675282,-0.387122,-0.492692,0.0326286,1.91929,2.97626,0.430341,-0.67961,-0.391785,-0.492759,0.0326286,0.951925,2.97653,-1.08754,-2.02222,0.477516,0.445526,0.0326286,1.04189,4.42668,0.991499,-2.02934,0.478392,0.440483,0.0326286,5.81557,5.53275,0,5.81557,5.53167,0,5.81557,5.53198,0,2.49814,2.98061,96.4942,2.49814,2.97968,96.3077,2.49814,2.97881,96.134,2.49814,2.97192,94.7567,2.49814,2.95215,90.8011,2.49814,2.98377,97.1263,2.49814,2.97215,94.8011,2.49814,2.98376,97.1236,2.49814,2.9524,90.8522,2.49814,2.96914,94.2001,2.49814,2.98148,96.6689,2.49814,2.97625,95.6226,2.49814,2.97207,94.7866,2.49814,2.95235,90.8417,2.49814,2.98354,97.0808,2.49814,2.98141,96.6538,2.49814,2.96928,94.2283,2.49814,2.97608,95.5876,2.49814,2.97617,95.6056,2.49814,2.97615,95.6018,2.49814,2.97612,95.595,2.49814,2.96915,94.2012,2.49814,2.98159,96.6895,2.49814,2.97608,95.5883,
2.001,0.120058,2.97643,0.508223,-0.448976,-0.262033,1.01361,0.0326286,1.87719,4.42649,-0.607781,-0.44652,-0.261089,1.00689,0.0326286,0.0737941,4.42679,-0.532314,-0.675356,-0.387497,-0.492347,0.0326286,1.91877,2.9763,0.430749,-0.679745,-0.392153,-0.492397,0.0326286,0.952265,2.97652,-1.08765,-2.02194,0.47784,0.445973,0.0326286,1.04104,4.42664,0.991515,-2.02909,0.478625,0.440973,0.0326286,5.81457,5.53263,0,5.81457,5.5318,0,5.81457,5.53195,0,2.49814,2.98048,96.467,2.49814,2.9796,96.2921,2.49814,2.97906,96.1847,2.49814,2.97195,94.761,2.49814,2.95217,90.806,2.49814,2.98374,97.1201,2.49814,2.97211,94.7949,2.49814,2.98375,97.1226,2.49814,2.95236,90.8443,2.49814,2.96914,94.2005,2.49814,2.9815,96.6713,2.49814,2.97623,95.6174,2.49814,2.97208,94.7875,2.49814,2.95234,90.841,2.49814,2.98357,97.0866,2.49814,2.98142,96.6564,2.49814,2.96926,94.224,2.49814,2.9761,95.5919,2.49814,2.97616,95.6048,2.49814,2.97614,95.6009,2.49814,2.97612,95.5963,2.49814,2.96916,94.2043,2.49814,2.98156,96.6846,2.49814,2.97608,95.5886,
