tgDataLogger2 started logging at time 04082024_231444, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(activated_cable).RestLen,30_SCA(activated_cable).CurrLen,30_SCA(activated_cable).Tension,31_SCA(activated_cable).RestLen,31_SCA(activated_cable).CurrLen,31_SCA(activated_cable).Tension,32_SCA(activated_cable).RestLen,32_SCA(activated_cable).CurrLen,32_SCA(activated_cable).Tension,
0.2001,-0.12898,3.2422,0.716692,-0.211279,0.0492087,0.964689,0.0326286,0.787686,4.97783,-0.624389,-0.213456,0.0479065,0.963876,0.0326286,-0.751056,4.59253,-0.0677451,-0.421377,-0.0941655,-0.601788,0.0326286,1.40947,3.62661,0.159625,-0.420914,-0.0949715,-0.601829,0.0326286,0.139864,3.45683,-0.929347,-1.94932,0.411536,0.104458,0.0326286,0.518556,4.76248,1.02162,-1.94914,0.412892,0.104539,0.0326286,2.90723,2.97533,74.9053,2.90723,2.97675,76.4655,2.90723,2.97653,76.2333,2.90723,2.97642,76.1029,2.90723,2.97541,74.9981,2.90723,2.9767,76.4136,2.90723,2.97623,75.9009,2.90723,2.97628,75.9508,2.90723,2.97599,75.6384,2.90723,2.97641,76.093,2.90723,2.97617,75.8318,2.90723,2.97618,75.8402,2.90723,2.97638,76.0659,2.90723,2.97652,76.2179,2.90723,2.97683,76.5564,2.90723,2.97684,76.5706,2.90723,2.97654,76.2363,2.90723,2.97624,75.9123,2.90723,2.97639,76.0744,2.90723,2.97647,76.1584,2.90723,2.97668,76.3936,2.90723,2.97615,75.815,2.90723,2.97632,75.9927,2.90723,2.97692,76.6541,5.81557,5.4845,0,5.81557,5.48566,0,5.81557,5.48616,0,
0.4002,0.263151,3.06546,0.655731,-0.500015,-0.220468,1.08994,0.0326286,2.08419,4.58774,-0.330204,-0.493559,-0.217188,1.08912,0.0326286,0.264687,4.63751,-0.250271,-0.730368,-0.329797,-0.417828,0.0326286,2.07828,3.02081,0.574201,-0.73849,-0.325069,-0.415698,0.0326286,1.10487,3.18461,-0.948769,-2.08482,0.562335,0.391957,0.0326286,1.23734,4.4654,1.27538,-2.08634,0.562546,0.390189,0.0326286,2.90723,2.97415,73.6135,2.90723,2.96677,65.4945,2.90723,2.97522,74.7825,2.90723,2.97441,73.8921,2.90723,2.97126,70.4278,2.90723,2.97554,75.1421,2.90723,2.97415,73.6134,2.90723,2.97729,77.0665,2.90723,2.97568,75.2907,2.90723,2.97382,73.247,2.90723,2.97641,76.0922,2.90723,2.97405,73.4988,2.90723,2.97354,72.9429,2.90723,2.96445,62.9414,2.90723,2.97477,74.2946,2.90723,2.97564,75.2508,2.90723,2.97355,72.9527,2.90723,2.97769,77.5062,2.90723,2.97622,75.8874,2.90723,2.97389,73.3238,2.90723,2.97367,73.0854,2.90723,2.9744,73.8859,2.90723,2.9753,74.8724,2.90723,2.97056,69.6581,5.81557,5.56764,0,5.81557,5.56751,0,5.81557,5.55382,0,
0.6003,0.525834,3.007,0.254552,-0.465573,-0.359927,1.04642,0.0326286,2.40043,4.45626,-0.691736,-0.465817,-0.359743,1.04413,0.0326286,0.597916,4.46694,-0.802969,-0.705413,-0.475057,-0.429098,0.0326286,2.32703,2.99455,0.363354,-0.706353,-0.473369,-0.428467,0.0326286,1.521,2.9867,-1.2516,-1.98197,0.512076,0.552929,0.0326286,1.40353,4.47795,0.814995,-1.98507,0.510631,0.550708,0.0326286,2.90723,2.97262,71.9292,2.90723,2.97448,73.9783,2.90723,2.97163,70.8363,2.90723,2.97351,72.9096,2.90723,2.9704,69.4871,2.90723,2.97578,75.4069,2.90723,2.97364,73.0539,2.90723,2.97493,74.4721,2.90723,2.96898,67.9187,2.90723,2.97368,73.0972,2.90723,2.97515,74.7135,2.90723,2.97396,73.3998,2.90723,2.97377,73.1895,2.90723,2.97372,73.1431,2.90723,2.97614,75.7962,2.90723,2.97538,74.9671,2.90723,2.97375,73.173,2.90723,2.97263,71.9384,2.90723,2.97358,72.9792,2.90723,2.97457,74.0751,2.90723,2.97473,74.2523,2.90723,2.9733,72.6778,2.90723,2.97558,75.1806,2.90723,2.97577,75.3916,5.81557,5.5543,0,5.81557,5.55479,0,5.81557,5.55983,0,
0.8004,0.52174,2.98698,0.251873,-0.464424,-0.358944,1.05748,0.0326286,2.37992,4.44822,-0.66648,-0.462291,-0.357731,1.05502,0.0326286,0.587203,4.44832,-0.782816,-0.704518,-0.47013,-0.417835,0.0326286,2.31162,2.98704,0.366827,-0.705661,-0.472146,-0.417607,0.0326286,1.51641,2.9871,-1.24058,-1.97375,0.525743,0.552972,0.0326286,1.38282,4.44818,0.827768,-1.97711,0.524284,0.550635,0.0326286,2.90723,2.97457,74.0676,2.90723,2.97408,73.5303,2.90723,2.97431,73.7874,2.90723,2.97375,73.1743,2.90723,2.96941,68.3966,2.90723,2.9758,75.4216,2.90723,2.97376,73.1809,2.90723,2.97581,75.4317,2.90723,2.96941,68.402,2.90723,2.97361,73.0161,2.90723,2.97568,75.295,2.90723,2.9738,73.2249,2.90723,2.97376,73.1838,2.90723,2.9694,68.3856,2.90723,2.97579,75.4118,2.90723,2.97567,75.2823,2.90723,2.97362,73.0263,2.90723,2.9738,73.2274,2.90723,2.97436,73.8391,2.90723,2.97435,73.8311,2.90723,2.97435,73.8272,2.90723,2.97362,73.0262,2.90723,2.97567,75.2843,2.90723,2.97378,73.2017,5.81557,5.54892,0,5.81557,5.54882,0,5.81557,5.54862,0,
1.0005,0.52605,2.98703,0.251595,-0.465145,-0.357707,1.05686,0.0326286,2.37522,4.4426,-0.666813,-0.46176,-0.355876,1.05401,0.0326286,0.58926,4.44263,-0.779105,-0.703855,-0.468573,-0.419284,0.0326286,2.3092,2.98708,0.362947,-0.704104,-0.472188,-0.419534,0.0326286,1.51419,2.98708,-1.23697,-1.97378,0.526435,0.551277,0.0326286,1.38496,4.44255,0.823672,-1.97773,0.523984,0.548756,0.0326286,2.90723,2.9749,74.4366,2.90723,2.97468,74.1967,2.90723,2.9749,74.4406,2.90723,2.97375,73.172,2.90723,2.9693,68.2758,2.90723,2.97574,75.3638,2.90723,2.97375,73.1744,2.90723,2.97575,75.3696,2.90723,2.9693,68.273,2.90723,2.97361,73.0167,2.90723,2.97567,75.2829,2.90723,2.97373,73.1492,2.90723,2.97376,73.1778,2.90723,2.96931,68.2815,2.90723,2.97574,75.3651,2.90723,2.97567,75.2798,2.90723,2.97361,73.0209,2.90723,2.97373,73.1516,2.90723,2.97434,73.8176,2.90723,2.97434,73.8157,2.90723,2.97434,73.8173,2.90723,2.97361,73.022,2.90723,2.97567,75.2788,2.90723,2.97373,73.1475,5.81557,5.54469,0,5.81557,5.54473,0,5.81557,5.54459,0,
1.2006,0.523784,2.98741,0.251168,-0.465497,-0.358879,1.05728,0.0326286,2.37697,4.44552,-0.666473,-0.4619,-0.35698,1.05465,0.0326286,0.588749,4.44549,-0.781013,-0.704327,-0.46953,-0.418366,0.0326286,2.31005,2.98745,0.365054,-0.703961,-0.473604,-0.418882,0.0326286,1.5156,2.98742,-1.23889,-1.97309,0.527345,0.552498,0.0326286,1.38363,4.44547,0.824892,-1.97696,0.524423,0.550166,0.0326286,2.90723,2.97476,74.2867,2.90723,2.97474,74.2547,2.90723,2.97489,74.4267,2.90723,2.97353,72.9342,2.90723,2.9698,68.8279,2.90723,2.97568,75.2928,2.90723,2.97353,72.9325,2.90723,2.97568,75.2964,2.90723,2.9698,68.8229,2.90723,2.97345,72.8365,2.90723,2.97555,75.1525,2.90723,2.97381,73.2348,2.90723,2.97354,72.9364,2.90723,2.9698,68.8274,2.90723,2.97568,75.2967,2.90723,2.97555,75.1527,2.90723,2.97345,72.8363,2.90723,2.97381,73.2379,2.90723,2.97423,73.6972,2.90723,2.97423,73.6967,2.90723,2.97423,73.6982,2.90723,2.97345,72.8396,2.90723,2.97555,75.1503,2.90723,2.97381,73.2363,5.81557,5.54668,0,5.81557,5.54676,0,5.81557,5.54669,0,
1.4007,0.521641,2.98748,0.251165,-0.465572,-0.359656,1.05765,0.0326286,2.37908,4.44834,-0.666553,-0.461999,-0.357773,1.05506,0.0326286,0.587716,4.4483,-0.782893,-0.704653,-0.470187,-0.417707,0.0326286,2.31121,2.9875,0.366904,-0.704139,-0.474415,-0.418292,0.0326286,1.51666,2.98747,-1.24084,-1.97272,0.527589,0.5534,0.0326286,1.38262,4.44831,0.826658,-1.97648,0.524713,0.551137,0.0326286,2.90723,2.97468,74.1944,2.90723,2.97476,74.2856,2.90723,2.97481,74.338,2.90723,2.97349,72.8821,2.90723,2.96988,68.9132,2.90723,2.97567,75.2802,2.90723,2.97349,72.8794,2.90723,2.97567,75.2813,2.90723,2.96988,68.9124,2.90723,2.97341,72.7927,2.90723,2.97552,75.1164,2.90723,2.97382,73.2475,2.90723,2.97349,72.8811,2.90723,2.96988,68.9115,2.90723,2.97567,75.284,2.90723,2.97552,75.1183,2.90723,2.9734,72.7901,2.90723,2.97382,73.2509,2.90723,2.9742,73.6648,2.90723,2.9742,73.6649,2.90723,2.9742,73.6661,2.90723,2.97341,72.793,2.90723,2.97552,75.1161,2.90723,2.97382,73.2511,5.81557,5.54876,0,5.81557,5.54883,0,5.81557,5.54882,0,
1.6008,0.522547,2.98735,0.251591,-0.465411,-0.358973,1.05736,0.0326286,2.37844,4.4474,-0.667077,-0.461881,-0.357097,1.05466,0.0326286,0.587664,4.44737,-0.782075,-0.704383,-0.469601,-0.418271,0.0326286,2.3112,2.98734,0.365924,-0.703991,-0.473856,-0.418817,0.0326286,1.51585,2.98732,-1.2403,-1.97317,0.527055,0.552626,0.0326286,1.38346,4.4474,0.826303,-1.97691,0.52442,0.550313,0.0326286,2.90723,2.97474,74.2565,2.90723,2.97484,74.371,2.90723,2.9748,74.3228,2.90723,2.97357,72.9743,2.90723,2.96966,68.6721,2.90723,2.97569,75.3046,2.90723,2.97357,72.9726,2.90723,2.97569,75.3031,2.90723,2.96966,68.6725,2.90723,2.97347,72.8611,2.90723,2.97556,75.1621,2.90723,2.97378,73.205,2.90723,2.97357,72.9723,2.90723,2.96966,68.6708,2.90723,2.97569,75.306,2.90723,2.97556,75.1638,2.90723,2.97347,72.8588,2.90723,2.97378,73.2056,2.90723,2.97424,73.7065,2.90723,2.97424,73.7073,2.90723,2.97424,73.7074,2.90723,2.97347,72.8596,2.90723,2.97556,75.1633,2.90723,2.97378,73.2078,5.81557,5.54815,0,5.81557,5.54817,0,5.81557,5.54821,0,
1.8009,0.523802,2.9873,0.251975,-0.465381,-0.358251,1.057,0.0326286,2.37728,4.44602,-0.667453,-0.461765,-0.356329,1.05424,0.0326286,0.587941,4.44601,-0.780827,-0.704094,-0.468953,-0.418905,0.0326286,2.31093,2.98729,0.364663,-0.703738,-0.473203,-0.419437,0.0326286,1.51492,2.98729,-1.23938,-1.97364,0.526673,0.551723,0.0326286,1.38444,4.44603,0.825486,-1.97738,0.524103,0.549389,0.0326286,2.90723,2.97481,74.3318,2.90723,2.97487,74.399,2.90723,2.9748,74.3222,2.90723,2.9736,73.0082,2.90723,2.9696,68.6023,2.90723,2.9757,75.3132,2.90723,2.9736,73.0079,2.90723,2.9757,75.3112,2.90723,2.9696,68.6032,2.90723,2.97349,72.8888,2.90723,2.97558,75.183,2.90723,2.97377,73.1939,2.90723,2.9736,73.0066,2.90723,2.9696,68.6013,2.90723,2.9757,75.3126,2.90723,2.97558,75.1837,2.90723,2.97349,72.8878,2.90723,2.97377,73.1928,2.90723,2.97425,73.7257,2.90723,2.97426,73.7264,2.90723,2.97425,73.7257,2.90723,2.97349,72.8871,2.90723,2.97558,75.1843,2.90723,2.97377,73.1944,5.81557,5.54716,0,5.81557,5.54715,0,5.81557,5.54719,0,
2.001,0.523733,2.98736,0.252199,-0.465431,-0.358139,1.05692,0.0326286,2.37727,4.44626,-0.667605,-0.461745,-0.356191,1.05418,0.0326286,0.587795,4.44626,-0.780695,-0.704062,-0.468842,-0.419009,0.0326286,2.31113,2.98735,0.364618,-0.703674,-0.473033,-0.419545,0.0326286,1.51477,2.98735,-1.23951,-1.97373,0.526662,0.551535,0.0326286,1.3846,4.44627,0.825582,-1.97745,0.524046,0.549232,0.0326286,2.90723,2.97481,74.3381,2.90723,2.97482,74.3511,2.90723,2.97478,74.3007,2.90723,2.97357,72.9712,2.90723,2.96969,68.7014,2.90723,2.97569,75.3046,2.90723,2.97357,72.9718,2.90723,2.97569,75.3034,2.90723,2.96969,68.7025,2.90723,2.97347,72.8618,2.90723,2.97556,75.1658,2.90723,2.97379,73.2129,2.90723,2.97357,72.9706,2.90723,2.96969,68.7013,2.90723,2.97569,75.3034,2.90723,2.97556,75.1656,2.90723,2.97347,72.8619,2.90723,2.97379,73.2117,2.90723,2.97424,73.7101,2.90723,2.97424,73.7103,2.90723,2.97424,73.7097,2.90723,2.97347,72.8609,2.90723,2.97556,75.1665,2.90723,2.97379,73.2122,5.81457,5.54733,0,5.81457,5.5473,0,5.81457,5.54733,0,
