tgDataLogger2 started logging at time 04092024_094046, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.2001,-0.228575,3.29547,0.887928,-0.273757,0.0878993,0.852966,0.0326286,0.788216,4.94273,-0.750128,-0.288535,0.074188,0.863988,0.0326286,-0.827605,4.70799,-0.0457503,-0.482366,-0.091256,-0.707332,0.0326286,1.40859,3.53383,0.18158,-0.471081,-0.0852563,-0.705854,0.0326286,-0.0176664,3.34584,-0.89868,-2.02908,0.344715,0.0893957,0.0326286,0.587105,4.8948,1.01583,-2.02121,0.298844,0.0959486,0.0326286,2.94258,2.9693,48.0897,2.94258,2.96963,48.6828,2.94258,2.96957,48.5742,2.94258,2.97036,49.9959,2.94258,2.96997,49.2878,2.94258,2.97035,49.9742,2.94258,2.96977,48.9357,2.94258,2.97058,50.3844,2.94258,2.97017,49.6518,2.94258,2.96949,48.4247,2.94258,2.97038,50.0337,2.94258,2.96998,49.3074,2.94258,2.97039,50.0455,2.94258,2.97058,50.3828,2.94258,2.96953,48.4999,2.94258,2.97019,49.6943,2.94258,2.97036,49.9941,2.94258,2.97036,49.9967,2.94258,2.97034,49.9618,2.94258,2.97043,50.129,2.94258,2.97006,49.4586,2.99814,3.00043,45.8634,2.99814,3.00045,46.1686,2.99814,3.00057,48.5952,
0.4002,0.445554,3.18046,0.8754,-0.576361,0.0766355,1.04293,0.0326286,2.10345,4.5707,-0.34674,-0.596704,0.0636497,1.05462,0.0326286,0.455441,4.79463,0.176958,-0.84665,-0.0564409,-0.516977,0.0326286,2.11287,2.9551,0.354582,-0.81376,-0.094024,-0.517616,0.0326286,0.875747,3.40087,-0.819681,-2.37719,0.496889,0.0745136,0.0326286,1.68334,4.34988,1.33045,-2.36583,0.48228,0.0837231,0.0326286,2.94258,2.96933,48.1417,2.94258,2.96859,46.8118,2.94258,2.97198,52.9112,2.94258,2.97022,49.7526,2.94258,2.97138,51.8249,2.94258,2.97139,51.8559,2.94258,2.97104,51.2142,2.94258,2.97092,51.002,2.94258,2.97123,51.5684,2.94258,2.9704,50.0613,2.94258,2.97129,51.6686,2.94258,2.97034,49.9674,2.94258,2.97112,51.3625,2.94258,2.97128,51.6584,2.94258,2.97109,51.3119,2.94258,2.97136,51.7986,2.94258,2.97096,51.0749,2.94258,2.97057,50.3821,2.94258,2.97093,51.0228,2.94258,2.97157,52.1769,2.94258,2.96863,46.8822,2.99814,2.99555,0,2.99814,3.00071,51.372,2.99814,3.00016,40.3861,
0.6003,0.738603,3.25108,1.06879,-0.737436,0.115617,1.12763,0.0326286,2.62859,4.567,-0.0281965,-0.739951,0.113772,1.14081,0.0326286,0.974267,4.95786,0.530606,-0.969649,0.00424345,-0.446701,0.0326286,2.41377,2.85308,0.510863,-0.955134,0.000392256,-0.444045,0.0326286,1.23026,3.59969,-0.639528,-2.55518,0.58441,-0.0178399,0.0326286,2.14789,4.21903,1.65994,-2.54087,0.565612,-0.00519505,0.0326286,2.94258,2.96897,47.4866,2.94258,2.96812,45.9635,2.94258,2.97206,53.0618,2.94258,2.96974,48.8837,2.94258,2.97071,50.6226,2.94258,2.96938,48.2303,2.94258,2.97082,50.8241,2.94258,2.96966,48.7394,2.94258,2.97115,51.4197,2.94258,2.97035,49.9804,2.94258,2.96995,49.2638,2.94258,2.96992,49.1988,2.94258,2.97081,50.7991,2.94258,2.97,49.3388,2.94258,2.96971,48.8316,2.94258,2.97049,50.2309,2.94258,2.97037,50.0217,2.94258,2.96978,48.9573,2.94258,2.97013,49.5792,2.94258,2.97074,50.6828,2.94258,2.96854,46.719,2.99814,3.00022,41.5877,2.99814,3.00039,44.9942,2.99814,3.00049,47.0864,
0.8004,1.12061,3.24833,1.34423,-0.891147,0.236349,1.24054,0.0326286,3.19396,4.36087,0.458356,-0.900141,0.232821,1.25225,0.0326286,1.64749,4.9286,1.09048,-1.13902,0.147403,-0.367152,0.0326286,2.68418,2.67181,0.712537,-1.12621,0.143804,-0.36233,0.0326286,1.67863,3.77068,-0.268443,-2.83202,0.637173,-0.196947,0.0326286,2.64579,3.83996,2.05223,-2.81907,0.642114,-0.184475,0.0326286,2.94258,2.9692,47.9017,2.94258,2.96555,41.3308,2.94258,2.97259,54.0171,2.94258,2.97041,50.0823,2.94258,2.97091,50.9773,2.94258,2.97004,49.4108,2.94258,2.97093,51.0228,2.94258,2.97013,49.584,2.94258,2.97146,51.9818,2.94258,2.9703,49.8963,2.94258,2.9708,50.7925,2.94258,2.96973,48.8614,2.94258,2.97095,51.0522,2.94258,2.97061,50.4431,2.94258,2.96937,48.2173,2.94258,2.97085,50.878,2.94258,2.97078,50.7434,2.94258,2.96996,49.2755,2.94258,2.97072,50.6372,2.94258,2.97096,51.082,2.94258,2.96793,45.6218,2.99814,3.00015,40.1969,2.99814,3.00032,43.6596,2.99814,3.00047,46.5619,
1.0005,1.3174,3.25364,1.56122,-0.915766,0.273295,1.26281,0.0326286,3.45261,4.35796,0.695131,-0.921865,0.270851,1.27341,0.0326286,1.90325,4.95427,1.37155,-1.16614,0.185583,-0.355602,0.0326286,2.88496,2.64741,0.882294,-1.16015,0.202109,-0.351842,0.0326286,1.8917,3.83573,-0.0558709,-2.8963,0.650745,-0.251043,0.0326286,2.88978,3.77972,2.29518,-2.88077,0.647009,-0.237817,0.0326286,2.94258,2.96976,48.9153,2.94258,2.96686,43.6924,2.94258,2.9695,48.4567,2.94258,2.97104,51.2222,2.94258,2.96961,48.6404,2.94258,2.97021,49.7338,2.94258,2.96987,49.1068,2.94258,2.97089,50.9555,2.94258,2.97065,50.5209,2.94258,2.96931,48.1118,2.94258,2.97032,49.9218,2.94258,2.9694,48.2733,2.94258,2.96884,47.258,2.94258,2.96983,49.0407,2.94258,2.97089,50.9449,2.94258,2.97145,51.9527,2.94258,2.96968,48.7683,2.94258,2.97139,51.8465,2.94258,2.97187,52.7091,2.94258,2.96987,49.1153,2.94258,2.96966,48.7301,2.99814,3.00042,45.5312,2.99814,3.00055,48.1597,2.99814,3.00046,46.3911,
1.2006,1.36532,3.2437,1.54116,-0.912577,0.249836,1.25706,0.0326286,3.47784,4.32518,0.683524,-0.923028,0.245982,1.26813,0.0326286,1.93817,4.92113,1.32358,-1.162,0.163261,-0.354749,0.0326286,2.92254,2.63798,0.901126,-1.14835,0.15813,-0.349793,0.0326286,1.94595,3.78655,-0.0640399,-2.87133,0.646795,-0.2202,0.0326286,2.90732,3.78484,2.26956,-2.85979,0.656621,-0.208782,0.0326286,2.94258,2.96925,47.9974,2.94258,2.96636,42.8,2.94258,2.97236,53.6026,2.94258,2.97056,50.3596,2.94258,2.97055,50.3448,2.94258,2.96998,49.3052,2.94258,2.97037,50.0134,2.94258,2.97038,50.036,2.94258,2.9712,51.502,2.94258,2.97002,49.3877,2.94258,2.96974,48.881,2.94258,2.96974,48.8821,2.94258,2.96949,48.4211,2.94258,2.97021,49.7205,2.94258,2.97002,49.3863,2.94258,2.97111,51.3452,2.94258,2.97031,49.9035,2.94258,2.97065,50.5098,2.94258,2.9712,51.5042,2.94258,2.97059,50.4127,2.94258,2.96871,47.0263,2.99814,3.00023,41.8347,2.99814,3.00043,45.893,2.99814,3.00049,47.0612,
1.4007,1.39864,3.24413,1.586,-0.916209,0.254346,1.25011,0.0326286,3.50724,4.32549,0.710324,-0.925338,0.250798,1.26133,0.0326286,1.97142,4.92348,1.36353,-1.16408,0.166869,-0.362346,0.0326286,2.95186,2.63697,0.93259,-1.15097,0.163877,-0.357433,0.0326286,1.96732,3.78722,-0.0253898,-2.87308,0.637927,-0.222438,0.0326286,2.94861,3.78541,2.30255,-2.86306,0.651339,-0.212311,0.0326286,2.94258,2.96954,48.5233,2.94258,2.9664,42.8763,2.94258,2.97192,52.7957,2.94258,2.97077,50.7403,2.94258,2.97042,50.1121,2.94258,2.97009,49.5175,2.94258,2.96999,49.3276,2.94258,2.9706,50.4364,2.94258,2.97105,51.2322,2.94258,2.97003,49.3953,2.94258,2.96954,48.5184,2.94258,2.96983,49.0461,2.94258,2.96896,47.4737,2.94258,2.97026,49.8114,2.94258,2.96991,49.1799,2.94258,2.9711,51.3207,2.94258,2.97034,49.9663,2.94258,2.97086,50.8999,2.94258,2.97138,51.8399,2.94258,2.97061,50.4524,2.94258,2.96896,47.4678,2.99814,3.00023,41.808,2.99814,3.00039,45.094,2.99814,3.00044,46.0144,
1.6008,1.44746,3.24451,1.60349,-0.916205,0.252594,1.25204,0.0326286,3.55999,4.32585,0.732371,-0.925013,0.249193,1.26336,0.0326286,2.02173,4.92466,1.38201,-1.16397,0.165688,-0.360045,0.0326286,3.0033,2.63624,0.953643,-1.15068,0.162164,-0.355121,0.0326286,2.02078,3.78753,-0.0077262,-2.87314,0.641318,-0.221685,0.0326286,2.99683,3.78575,2.32439,-2.86246,0.653132,-0.211048,0.0326286,2.94258,2.96941,48.286,2.94258,2.96646,42.9709,2.94258,2.97199,52.9325,2.94258,2.97071,50.632,2.94258,2.97043,50.1137,2.94258,2.97003,49.4055,2.94258,2.97009,49.5075,2.94258,2.97053,50.3087,2.94258,2.97105,51.232,2.94258,2.96997,49.287,2.94258,2.96951,48.4737,2.94258,2.96979,48.9726,2.94258,2.96907,47.665,2.94258,2.97019,49.6815,2.94258,2.96995,49.2508,2.94258,2.9711,51.3312,2.94258,2.97028,49.8562,2.94258,2.97083,50.8484,2.94258,2.97135,51.7709,2.94258,2.97054,50.3178,2.94258,2.96893,47.4263,2.99814,3.0003,43.1663,2.99814,3.00046,46.4942,2.99814,3.00051,47.3684,
1.8009,1.50187,3.24468,1.6073,-0.915009,0.248237,1.25774,0.0326286,3.62124,4.32601,0.750678,-0.923678,0.244921,1.26912,0.0326286,2.07809,4.92519,1.38963,-1.16304,0.162831,-0.353532,0.0326286,3.06267,2.6359,0.968223,-1.14971,0.159024,-0.348664,0.0326286,2.08674,3.78767,-0.000432881,-2.87194,0.648476,-0.219369,0.0326286,3.04668,3.7859,2.33927,-2.86092,0.659566,-0.208406,0.0326286,2.94258,2.96943,48.3276,2.94258,2.96657,43.1679,2.94258,2.9721,53.1203,2.94258,2.97067,50.5498,2.94258,2.97039,50.047,2.94258,2.96999,49.3337,2.94258,2.9701,49.5218,2.94258,2.9705,50.2549,2.94258,2.97106,51.2482,2.94258,2.96999,49.3351,2.94258,2.9695,48.4396,2.94258,2.96973,48.8643,2.94258,2.96913,47.7818,2.94258,2.97016,49.6278,2.94258,2.97002,49.3758,2.94258,2.9711,51.3272,2.94258,2.97025,49.7968,2.94258,2.97081,50.8128,2.94258,2.97133,51.7458,2.94258,2.97052,50.2796,2.94258,2.96898,47.5069,2.99814,3.00024,42.0489,2.99814,3.00041,45.3837,2.99814,3.00044,46.0627,
2.001,1.55829,3.24476,1.60546,-0.9137,0.242702,1.26493,0.0326286,3.68552,4.32606,0.767489,-0.9219,0.239578,1.27639,0.0326286,2.13659,4.92541,1.39281,-1.16179,0.159357,-0.345316,0.0326286,3.12488,2.63572,0.980177,-1.14864,0.155712,-0.340547,0.0326286,2.15751,3.78769,0.00273046,-2.87022,0.657442,-0.216375,0.0326286,3.0968,3.78596,2.35118,-2.85897,0.66791,-0.205209,0.0326286,2.94258,2.96952,48.4865,2.94258,2.96675,43.4987,2.94258,2.97213,53.1819,2.94258,2.97068,50.5788,2.94258,2.97041,50.0927,2.94258,2.97003,49.4075,2.94258,2.97011,49.5402,2.94258,2.9705,50.2504,2.94258,2.97102,51.179,2.94258,2.97005,49.4383,2.94258,2.9695,48.4406,2.94258,2.96974,48.877,2.94258,2.96911,47.7431,2.94258,2.97014,49.6033,2.94258,2.97009,49.5069,2.94258,2.97111,51.3441,2.94258,2.97024,49.7843,2.94258,2.97083,50.8402,2.94258,2.97133,51.7351,2.94258,2.97047,50.2018,2.94258,2.96908,47.6849,2.99714,3.00008,58.8458,2.99714,3.00026,62.3062,2.99714,3.0002,61.1094,
