tgDataLogger2 started logging at time 04122024_165102, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(activated_cable).RestLen,9_SCA(activated_cable).CurrLen,9_SCA(activated_cable).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,
0.0101,-1.74561e-16,4.49505,1.52078,-0.00186776,-2.25746e-17,-3.51029e-15,0.099995,-1.40773e-16,4.49505,-1.52078,-0.00186776,9.37424e-17,-2.90377e-15,0.099995,-1.51398,4.49738,2.33169e-16,-0.000544491,1.55041e-17,-1.5708,0.099995,1.51398,4.49271,2.00759e-16,-0.000544491,-4.75423e-17,-1.5708,0.099995,0.00431364,2.9855,4.68894e-15,-1.57042,-4.93162e-15,-1.69707e-17,0.099995,-0.00431364,6.00459,-4.31795e-15,-1.57042,-4.69561e-15,-8.71981e-17,0.099995,2.99814,3.00521,70.6567,2.99814,3.00521,70.6567,2.99814,3.00521,70.6567,2.99814,3.00521,70.6567,2.74814,2.99099,97.1398,2.74814,2.99047,96.9332,2.74814,2.99022,96.8323,2.74814,2.98979,96.6611,2.74814,2.99085,97.0821,2.74814,2.99099,97.1398,2.74814,2.99047,96.9332,2.74814,2.99022,96.8323,2.74814,2.98979,96.6611,2.74814,2.99085,97.0821,2.74814,2.99085,97.0821,2.74814,2.99022,96.8323,2.74814,2.98979,96.6611,2.74814,2.99085,97.0821,2.74814,2.98979,96.6611,2.74814,2.99022,96.8323,2.74814,2.99099,97.1398,2.74814,2.99047,96.9332,2.74814,2.99047,96.9332,2.74814,2.99099,97.1398,
0.0202,-1.28193e-17,4.48008,1.44669,-0.00340594,5.52118e-16,-6.75608e-15,0.099995,1.4652e-16,4.48008,-1.44669,-0.00340594,-8.14654e-17,-6.30734e-15,0.099995,-1.43432,4.48441,-5.0555e-17,0.0006696,4.39644e-17,-1.5708,0.099995,1.43432,4.47576,-1.77849e-16,0.0006696,-1.00343e-16,-1.5708,0.099995,0.00773127,3.0548,9.17278e-15,-1.57001,-5.33756e-15,-1.552e-18,0.099995,-0.00773127,5.90537,-9.11727e-15,-1.57001,-6.25425e-15,-1.01641e-16,0.099995,2.99814,3.0051,69.5827,2.99814,3.0051,69.5827,2.99814,3.0051,69.5827,2.99814,3.0051,69.5827,2.74814,2.97833,92.0757,2.74814,2.97794,91.9188,2.74814,2.97747,91.7306,2.74814,2.9769,91.5046,2.74814,2.97826,92.0477,2.74814,2.97833,92.0757,2.74814,2.97794,91.9188,2.74814,2.97747,91.7306,2.74814,2.9769,91.5046,2.74814,2.97826,92.0477,2.74814,2.97826,92.0477,2.74814,2.97747,91.7306,2.74814,2.9769,91.5046,2.74814,2.97826,92.0477,2.74814,2.9769,91.5046,2.74814,2.97747,91.7306,2.74814,2.97833,92.0757,2.74814,2.97794,91.9188,2.74814,2.97794,91.9188,2.74814,2.97833,92.0757,
0.0303,2.44106e-16,4.45512,1.34171,-0.00453938,-9.28257e-16,-8.38975e-15,0.099995,3.4458e-16,4.45512,-1.34171,-0.00453938,2.40247e-16,-8.17637e-15,0.099995,-1.32588,4.46076,-1.96469e-16,0.000210536,4.55636e-17,-1.5708,0.099995,1.32588,4.44947,-2.02111e-16,0.000210536,-3.96818e-17,-1.5708,0.099995,0.00964006,3.14297,1.09679e-14,-1.56947,-7.93153e-15,8.42984e-18,0.099995,-0.00964006,5.76726,-1.10333e-14,-1.56947,-7.39664e-15,2.05806e-17,0.099995,2.99814,3.00523,70.8557,2.99814,3.00523,70.8557,2.99814,3.00523,70.8557,2.99814,3.00523,70.8557,2.74814,2.96886,88.2893,2.74814,2.96892,88.3129,2.74814,2.96831,88.0667,2.74814,2.96798,87.9348,2.74814,2.96895,88.3231,2.74814,2.96886,88.2893,2.74814,2.96892,88.3129,2.74814,2.96831,88.0667,2.74814,2.96798,87.9348,2.74814,2.96895,88.3231,2.74814,2.96895,88.3231,2.74814,2.96831,88.0667,2.74814,2.96798,87.9348,2.74814,2.96895,88.3231,2.74814,2.96798,87.9348,2.74814,2.96831,88.0667,2.74814,2.96886,88.2893,2.74814,2.96892,88.3129,2.74814,2.96892,88.3129,2.74814,2.96886,88.2893,
0.0404,3.36535e-16,4.42014,1.22268,-0.00465673,-8.15782e-16,-1.20328e-14,0.099995,4.79526e-16,4.42014,-1.22268,-0.00465673,4.14391e-16,-1.27054e-14,0.099995,-1.20807,4.42546,-2.1357e-16,-0.000542142,-4.94938e-17,-1.5708,0.099995,1.20807,4.41482,-2.05197e-16,-0.000542142,-3.95734e-18,-1.5708,0.099995,0.00854382,3.22764,1.44235e-14,-1.5691,-1.18822e-14,-3.14825e-17,0.099995,-0.00854382,5.61264,-1.48475e-14,-1.5691,-1.4613e-14,-3.46652e-17,0.099995,2.99814,3.00604,79.0046,2.99814,3.00604,79.0046,2.99814,3.00604,79.0046,2.99814,3.00604,79.0046,2.74814,2.96948,88.5368,2.74814,2.96962,88.5907,2.74814,2.96903,88.3548,2.74814,2.96908,88.3769,2.74814,2.96954,88.5589,2.74814,2.96948,88.5368,2.74814,2.96962,88.5907,2.74814,2.96903,88.3548,2.74814,2.96908,88.3769,2.74814,2.96954,88.5589,2.74814,2.96954,88.5589,2.74814,2.96903,88.3548,2.74814,2.96908,88.3769,2.74814,2.96954,88.5589,2.74814,2.96908,88.3769,2.74814,2.96903,88.3548,2.74814,2.96948,88.5368,2.74814,2.96962,88.5907,2.74814,2.96962,88.5907,2.74814,2.96948,88.5368,
0.0505,-5.15389e-16,4.37516,1.11915,-0.00391418,-1.95627e-15,-1.58418e-14,0.099995,-6.227e-16,4.37516,-1.11915,-0.00391418,9.62544e-16,-1.47112e-14,0.099995,-1.10901,4.3789,-2.0853e-16,-2.68334e-05,-1.3149e-16,-1.5708,0.099995,1.10901,4.37141,-1.56932e-16,-2.68334e-05,1.00451e-16,-1.5708,0.099995,0.00551785,3.27936,1.66568e-14,-1.56918,-4.87964e-15,-2.60211e-17,0.099995,-0.00551785,5.47096,-1.69894e-14,-1.56918,-1.14604e-14,1.16652e-17,0.099995,2.99814,3.0072,90.633,2.99814,3.0072,90.633,2.99814,3.0072,90.633,2.99814,3.0072,90.633,2.74814,2.9791,92.3835,2.74814,2.97857,92.1702,2.74814,2.97816,92.0084,2.74814,2.97823,92.0356,2.74814,2.97888,92.2971,2.74814,2.9791,92.3835,2.74814,2.97857,92.1702,2.74814,2.97816,92.0084,2.74814,2.97823,92.0356,2.74814,2.97888,92.2971,2.74814,2.97888,92.2971,2.74814,2.97816,92.0084,2.74814,2.97823,92.0356,2.74814,2.97888,92.2971,2.74814,2.97823,92.0356,2.74814,2.97816,92.0084,2.74814,2.9791,92.3835,2.74814,2.97857,92.1702,2.74814,2.97857,92.1702,2.74814,2.9791,92.3835,
0.0606,-3.23661e-16,4.32017,1.06529,-0.00332932,1.11847e-15,-1.96823e-14,0.099995,-1.5259e-16,4.32017,-1.06529,-0.00332932,-2.86642e-15,-1.96976e-14,0.099995,-1.05867,4.32263,-7.53245e-17,-0.000287617,5.21501e-17,-1.5708,0.099995,1.05867,4.31771,1.41043e-16,-0.000287617,2.46927e-17,-1.5708,0.099995,0.00330514,3.27139,2.0642e-14,-1.56932,-2.77332e-14,-9.98394e-17,0.099995,-0.00330514,5.36895,-2.05374e-14,-1.56932,-2.41616e-14,-1.10644e-16,0.099995,2.99814,3.0078,96.5871,2.99814,3.0078,96.5871,2.99814,3.0078,96.5871,2.99814,3.0078,96.5871,2.74814,2.98736,95.6888,2.74814,2.98597,95.1323,2.74814,2.98566,95.0076,2.74814,2.98508,94.7771,2.74814,2.98686,95.4895,2.74814,2.98736,95.6888,2.74814,2.98597,95.1323,2.74814,2.98566,95.0076,2.74814,2.98508,94.7771,2.74814,2.98686,95.4895,2.74814,2.98686,95.4895,2.74814,2.98566,95.0076,2.74814,2.98508,94.7771,2.74814,2.98686,95.4895,2.74814,2.98508,94.7771,2.74814,2.98566,95.0076,2.74814,2.98736,95.6888,2.74814,2.98597,95.1323,2.74814,2.98597,95.1323,2.74814,2.98736,95.6888,
0.0707,-8.19934e-17,4.25517,1.07345,-0.00361589,3.8005e-15,-2.29299e-14,0.099995,-1.47424e-16,4.25517,-1.07345,-0.00361589,5.50206e-16,-2.31123e-14,0.099995,-1.06689,4.25761,-2.17768e-16,-0.000984991,1.60462e-17,-1.5708,0.099995,1.06689,4.25274,1.52751e-16,-0.000984991,4.98733e-18,-1.5708,0.099995,0.00335137,3.19813,2.4542e-14,-1.56907,-2.49947e-14,-8.44154e-17,0.099995,-0.00335137,5.31221,-2.4441e-14,-1.56907,-2.50459e-14,-5.39864e-17,0.099995,2.99814,3.00748,93.3632,2.99814,3.00748,93.3632,2.99814,3.00748,93.3632,2.99814,3.00748,93.3632,2.74814,2.98643,95.3177,2.74814,2.9845,94.5456,2.74814,2.98416,94.4062,2.74814,2.98287,93.8931,2.74814,2.98578,95.0561,2.74814,2.98643,95.3177,2.74814,2.9845,94.5456,2.74814,2.98416,94.4062,2.74814,2.98287,93.8931,2.74814,2.98578,95.0561,2.74814,2.98578,95.0561,2.74814,2.98416,94.4062,2.74814,2.98287,93.8931,2.74814,2.98578,95.0561,2.74814,2.98287,93.8931,2.74814,2.98416,94.4062,2.74814,2.98643,95.3177,2.74814,2.9845,94.5456,2.74814,2.9845,94.5456,2.74814,2.98643,95.3177,
0.0808,-2.4683e-17,4.18017,1.13182,-0.00447955,7.30269e-16,-2.73129e-14,0.099995,-2.92854e-16,4.18017,-1.13182,-0.00447955,-5.07544e-15,-2.66874e-14,0.099995,-1.12247,4.18359,-2.1801e-16,-0.000226615,4.35307e-17,-1.5708,0.099995,1.12247,4.17674,-1.99771e-18,-0.000226615,-7.23569e-17,-1.5708,0.099995,0.00516652,3.07047,3.01529e-14,-1.56861,-1.29723e-14,-1.62069e-16,0.099995,-0.00516652,5.28986,-2.99597e-14,-1.56861,-1.9653e-14,1.58856e-17,0.099995,2.99814,3.00675,86.118,2.99814,3.00675,86.118,2.99814,3.00675,86.118,2.99814,3.00675,86.118,2.74814,2.97867,92.2114,2.74814,2.97642,91.3107,2.74814,2.97611,91.1895,2.74814,2.97462,90.5922,2.74814,2.97794,91.9184,2.74814,2.97867,92.2114,2.74814,2.97642,91.3107,2.74814,2.97611,91.1895,2.74814,2.97462,90.5922,2.74814,2.97794,91.9184,2.74814,2.97794,91.9184,2.74814,2.97611,91.1895,2.74814,2.97462,90.5922,2.74814,2.97794,91.9184,2.74814,2.97462,90.5922,2.74814,2.97611,91.1895,2.74814,2.97867,92.2114,2.74814,2.97642,91.3107,2.74814,2.97642,91.3107,2.74814,2.97867,92.2114,
0.0909,-2.34444e-16,4.09516,1.22172,-0.00518379,3.92444e-15,-2.93783e-14,0.099995,-2.93592e-16,4.09516,-1.22172,-0.00518379,-5.9144e-15,-2.9658e-14,0.099995,-1.20872,4.09981,-2.11561e-16,-0.000575141,6.07153e-17,-1.5708,0.099995,1.20872,4.0905,2.06293e-16,-0.000575141,-5.48064e-17,-1.5708,0.099995,0.00751301,2.90186,3.51645e-14,-1.56842,-3.84925e-14,-1.06758e-16,0.099995,-0.00751301,5.28845,-3.50483e-14,-1.56842,-3.1704e-14,-7.53667e-17,0.099995,2.99814,3.00629,81.5446,2.99814,3.00629,81.5446,2.99814,3.00629,81.5446,2.99814,3.00629,81.5446,2.74814,2.97108,89.1769,2.74814,2.96869,88.2193,2.74814,2.9685,88.143,2.74814,2.96727,87.6526,2.74814,2.97029,88.8616,2.74814,2.97108,89.1769,2.74814,2.96869,88.2193,2.74814,2.9685,88.143,2.74814,2.96727,87.6526,2.74814,2.97029,88.8616,2.74814,2.97029,88.8616,2.74814,2.9685,88.143,2.74814,2.96727,87.6526,2.74814,2.97029,88.8616,2.74814,2.96727,87.6526,2.74814,2.9685,88.143,2.74814,2.97108,89.1769,2.74814,2.96869,88.2193,2.74814,2.96869,88.2193,2.74814,2.97108,89.1769,
0.101,-5.84354e-07,4.00024,1.32349,-0.00514323,0.00706323,0.000271197,0.099995,-5.84354e-07,4.00024,-1.32349,-0.00514323,-0.00706322,-0.000271197,0.099995,-1.30839,4.00539,-2.15069e-16,-8.97066e-05,-7.75454e-14,-1.5708,0.099995,1.30839,3.99488,1.97544e-16,-0.000101336,-7.82998e-14,-1.5708,0.099995,0.00895861,2.70687,4.11358e-14,-1.56877,-1.93865e-12,2.55903e-13,0.099995,-0.00895861,5.2934,-4.1536e-14,-1.56878,-1.71338e-12,1.87768e-13,0.099995,2.99814,3.00569,75.543,2.99814,3.00569,75.543,2.99814,3.007,88.5558,2.99814,3.007,88.5558,2.74814,2.96905,88.3625,2.74814,2.9673,87.6638,2.74814,2.96654,87.3616,2.74814,2.96549,86.9402,2.74814,2.96877,88.2511,2.74814,2.96905,88.3625,2.74814,2.9673,87.6638,2.74814,2.96654,87.3616,2.74814,2.96549,86.9402,2.74814,2.96877,88.2511,2.74814,2.96877,88.2516,2.74814,2.96791,87.9077,2.74814,2.96703,87.5548,2.74814,2.96877,88.2516,2.74814,2.96703,87.5548,2.74814,2.96791,87.9077,2.74814,2.9702,88.8231,2.74814,2.96731,87.6674,2.74814,2.96731,87.6674,2.74814,2.9702,88.8231,
